 frequency       inoise_spectrum onoise_spectrum
 1.20007371e+01  4.96593100e-10  1.11932445e-08 
 1.22774708e+01  4.96537857e-10  1.11919993e-08 
 1.25605860e+01  4.96483852e-10  1.11907820e-08 
 1.28502297e+01  4.96431059e-10  1.11895921e-08 
 1.31465525e+01  4.96379451e-10  1.11884288e-08 
 1.34497085e+01  4.96329000e-10  1.11872916e-08 
 1.37598551e+01  4.96279682e-10  1.11861800e-08 
 1.40771537e+01  4.96231471e-10  1.11850933e-08 
 1.44017690e+01  4.96184342e-10  1.11840310e-08 
 1.47338699e+01  4.96138271e-10  1.11829926e-08 
 1.50736290e+01  4.96093234e-10  1.11819775e-08 
 1.54212228e+01  4.96049208e-10  1.11809851e-08 
 1.57768320e+01  4.96006171e-10  1.11800151e-08 
 1.61406415e+01  4.95964101e-10  1.11790668e-08 
 1.65128404e+01  4.95922975e-10  1.11781398e-08 
 1.68936220e+01  4.95882773e-10  1.11772336e-08 
 1.72831844e+01  4.95843474e-10  1.11763478e-08 
 1.76817299e+01  4.95805057e-10  1.11754819e-08 
 1.80894658e+01  4.95767504e-10  1.11746355e-08 
 1.85066040e+01  4.95730794e-10  1.11738080e-08 
 1.89333613e+01  4.95694909e-10  1.11729992e-08 
 1.93699595e+01  4.95659831e-10  1.11722085e-08 
 1.98166255e+01  4.95625541e-10  1.11714356e-08 
 2.02735916e+01  4.95592021e-10  1.11706801e-08 
 2.07410951e+01  4.95559255e-10  1.11699415e-08 
 2.12193792e+01  4.95527225e-10  1.11692196e-08 
 2.17086923e+01  4.95495915e-10  1.11685138e-08 
 2.22092889e+01  4.95465309e-10  1.11678240e-08 
 2.27214291e+01  4.95435391e-10  1.11671496e-08 
 2.32453791e+01  4.95406146e-10  1.11664904e-08 
 2.37814113e+01  4.95377558e-10  1.11658461e-08 
 2.43298042e+01  4.95349613e-10  1.11652162e-08 
 2.48908429e+01  4.95322296e-10  1.11646005e-08 
 2.54648190e+01  4.95295593e-10  1.11639986e-08 
 2.60520309e+01  4.95269491e-10  1.11634102e-08 
