 frequency       inoise_spectrum onoise_spectrum
 1.20007371e+01  1.39946751e-09  3.11893338e-08 
 1.22774708e+01  1.39916959e-09  3.11826943e-08 
 1.25605860e+01  1.39887833e-09  3.11762030e-08 
 1.28502297e+01  1.39859357e-09  3.11698568e-08 
 1.31465525e+01  1.39831517e-09  3.11636523e-08 
 1.34497085e+01  1.39804300e-09  3.11575865e-08 
 1.37598551e+01  1.39777691e-09  3.11516563e-08 
 1.40771537e+01  1.39751677e-09  3.11458586e-08 
 1.44017690e+01  1.39726245e-09  3.11401906e-08 
 1.47338699e+01  1.39701381e-09  3.11346493e-08 
 1.50736290e+01  1.39677073e-09  3.11292320e-08 
 1.54212228e+01  1.39653310e-09  3.11239359e-08 
 1.57768320e+01  1.39630078e-09  3.11187583e-08 
 1.61406415e+01  1.39607366e-09  3.11136966e-08 
 1.65128404e+01  1.39585162e-09  3.11087481e-08 
 1.68936220e+01  1.39563455e-09  3.11039105e-08 
 1.72831844e+01  1.39542235e-09  3.10991811e-08 
 1.76817299e+01  1.39521489e-09  3.10945577e-08 
 1.80894658e+01  1.39501208e-09  3.10900378e-08 
 1.85066040e+01  1.39481382e-09  3.10856191e-08 
 1.89333613e+01  1.39461999e-09  3.10812994e-08 
 1.93699595e+01  1.39443051e-09  3.10770765e-08 
 1.98166255e+01  1.39424528e-09  3.10729483e-08 
 2.02735916e+01  1.39406419e-09  3.10689126e-08 
 2.07410951e+01  1.39388717e-09  3.10649673e-08 
 2.12193792e+01  1.39371411e-09  3.10611104e-08 
 2.17086923e+01  1.39354494e-09  3.10573401e-08 
 2.22092889e+01  1.39337955e-09  3.10536543e-08 
 2.27214291e+01  1.39321788e-09  3.10500511e-08 
 2.32453791e+01  1.39305983e-09  3.10465287e-08 
 2.37814113e+01  1.39290533e-09  3.10430854e-08 
 2.43298042e+01  1.39275429e-09  3.10397193e-08 
 2.48908429e+01  1.39260664e-09  3.10364287e-08 
 2.54648190e+01  1.39246231e-09  3.10332119e-08 
 2.60520309e+01  1.39232121e-09  3.10300674e-08 
 2.66527837e+01  1.39218328e-09  3.10269934e-08 
 2.72673897e+01  1.39204844e-09  3.10239884e-08 
 2.78961683e+01  1.39191664e-09  3.10210508e-08 
 2.85394464e+01  1.39178779e-09  3.10181792e-08 
 2.91975583e+01  1.39166183e-09  3.10153721e-08 
 2.98708461e+01  1.39153870e-09  3.10126279e-08 
 3.05596598e+01  1.39141834e-09  3.10099454e-08 
 3.12643573e+01  1.39130068e-09  3.10073232e-08 
 3.19853049e+01  1.39118566e-09  3.10047598e-08 
 3.27228774e+01  1.39107322e-09  3.10022540e-08 
 3.34774581e+01  1.39096331e-09  3.09998045e-08 
 3.42494392e+01  1.39085587e-09  3.09974100e-08 
 3.50392221e+01  1.39075085e-09  3.09950693e-08 
 3.58472171e+01  1.39064818e-09  3.09927812e-08 
 3.66738442e+01  1.39054782e-09  3.09905445e-08 
 3.75195331e+01  1.39044971e-09  3.09883581e-08 
 3.83847234e+01  1.39035381e-09  3.09862208e-08 
 3.92698648e+01  1.39026007e-09  3.09841315e-08 
 4.01754173e+01  1.39016843e-09  3.09820892e-08 
 4.11018515e+01  1.39007885e-09  3.09800928e-08 
 4.20496491e+01  1.38999128e-09  3.09781413e-08 
 4.30193027e+01  1.38990569e-09  3.09762336e-08 
 4.40113162e+01  1.38982201e-09  3.09743688e-08 
 4.50262052e+01  1.38974022e-09  3.09725460e-08 
 4.60644974e+01  1.38966027e-09  3.09707641e-08 
 4.71267322e+01  1.38958211e-09  3.09690223e-08 
 4.82134619e+01  1.38950572e-09  3.09673197e-08 
 4.93252513e+01  1.38943104e-09  3.09656553e-08 
 5.04626783e+01  1.38935804e-09  3.09640284e-08 
 5.16263340e+01  1.38928668e-09  3.09624380e-08 
 5.28168234e+01  1.38921692e-09  3.09608835e-08 
 5.40347650e+01  1.38914874e-09  3.09593638e-08 
 5.52807921e+01  1.38908209e-09  3.09578784e-08 
 5.65555523e+01  1.38901693e-09  3.09564264e-08 
 5.78597080e+01  1.38895325e-09  3.09550070e-08 
 5.91939372e+01  1.38889099e-09  3.09536196e-08 
 6.05589334e+01  1.38883014e-09  3.09522634e-08 
 6.19554061e+01  1.38877066e-09  3.09509377e-08 
 6.33840810e+01  1.38871251e-09  3.09496418e-08 
 6.48457008e+01  1.38865567e-09  3.09483751e-08 
 6.63410251e+01  1.38860011e-09  3.09471369e-08 
 6.78708313e+01  1.38854581e-09  3.09459265e-08 
 6.94359143e+01  1.38849272e-09  3.09447434e-08 
 7.10370877e+01  1.38844083e-09  3.09435869e-08 
 7.26751838e+01  1.38839010e-09  3.09424565e-08 
 7.43510539e+01  1.38834052e-09  3.09413514e-08 
 7.60655691e+01  1.38829205e-09  3.09402713e-08 
 7.78196206e+01  1.38824468e-09  3.09392154e-08 
 7.96141200e+01  1.38819837e-09  3.09381833e-08 
 8.14500001e+01  1.38815310e-09  3.09371745e-08 
 8.33282151e+01  1.38810885e-09  3.09361883e-08 
 8.52497412e+01  1.38806560e-09  3.09352244e-08 
 8.72155772e+01  1.38802332e-09  3.09342821e-08 
 8.92267449e+01  1.38798199e-09  3.09333611e-08 
 9.12842895e+01  1.38794160e-09  3.09324608e-08 
 9.33892805e+01  1.38790211e-09  3.09315807e-08 
 9.55428121e+01  1.38786351e-09  3.09307205e-08 
 9.77460036e+01  1.38782578e-09  3.09298796e-08 
 1.00000000e+02  1.38778890e-09  3.09290577e-08 
 1.02305973e+02  1.38775285e-09  3.09282543e-08 
 1.04665121e+02  1.38771761e-09  3.09274689e-08 
 1.07078670e+02  1.38768317e-09  3.09267013e-08 
 1.09547876e+02  1.38764950e-09  3.09259509e-08 
 1.12074020e+02  1.38761659e-09  3.09252174e-08 
 1.14658417e+02  1.38758442e-09  3.09245005e-08 
 1.17302409e+02  1.38755297e-09  3.09237997e-08 
 1.20007371e+02  1.38752223e-09  3.09231146e-08 
 1.22774708e+02  1.38749219e-09  3.09224450e-08 
 1.25605860e+02  1.38746282e-09  3.09217905e-08 
 1.28502297e+02  1.38743411e-09  3.09211507e-08 
 1.31465525e+02  1.38740605e-09  3.09205253e-08 
 1.34497085e+02  1.38737862e-09  3.09199140e-08 
 1.37598551e+02  1.38735181e-09  3.09193165e-08 
 1.40771537e+02  1.38732561e-09  3.09187324e-08 
 1.44017690e+02  1.38729999e-09  3.09181615e-08 
 1.47338699e+02  1.38727495e-09  3.09176034e-08 
 1.50736290e+02  1.38725047e-09  3.09170579e-08 
 1.54212228e+02  1.38722655e-09  3.09165247e-08 
 1.57768320e+02  1.38720316e-09  3.09160035e-08 
 1.61406415e+02  1.38718030e-09  3.09154941e-08 
 1.65128404e+02  1.38715796e-09  3.09149961e-08 
 1.68936220e+02  1.38713612e-09  3.09145093e-08 
 1.72831844e+02  1.38711477e-09  3.09140335e-08 
 1.76817299e+02  1.38709390e-09  3.09135684e-08 
 1.80894658e+02  1.38707350e-09  3.09131138e-08 
 1.85066040e+02  1.38705356e-09  3.09126694e-08 
 1.89333613e+02  1.38703407e-09  3.09122351e-08 
 1.93699595e+02  1.38701502e-09  3.09118105e-08 
 1.98166255e+02  1.38699640e-09  3.09113955e-08 
 2.02735916e+02  1.38697820e-09  3.09109898e-08 
 2.07410951e+02  1.38696041e-09  3.09105933e-08 
 2.12193792e+02  1.38694301e-09  3.09102057e-08 
 2.17086923e+02  1.38692602e-09  3.09098268e-08 
 2.22092889e+02  1.38690940e-09  3.09094565e-08 
 2.27214291e+02  1.38689316e-09  3.09090945e-08 
 2.32453791e+02  1.38687728e-09  3.09087407e-08 
 2.37814113e+02  1.38686176e-09  3.09083948e-08 
 2.43298042e+02  1.38684659e-09  3.09080567e-08 
 2.48908429e+02  1.38683177e-09  3.09077263e-08 
 2.54648190e+02  1.38681727e-09  3.09074033e-08 
 2.60520309e+02  1.38680311e-09  3.09070875e-08 
 2.66527837e+02  1.38678926e-09  3.09067789e-08 
 2.72673897e+02  1.38677572e-09  3.09064773e-08 
 2.78961683e+02  1.38676249e-09  3.09061824e-08 
 2.85394464e+02  1.38674956e-09  3.09058942e-08 
 2.91975583e+02  1.38673692e-09  3.09056124e-08 
 2.98708461e+02  1.38672456e-09  3.09053370e-08 
 3.05596598e+02  1.38671249e-09  3.09050678e-08 
 3.12643573e+02  1.38670068e-09  3.09048047e-08 
 3.19853049e+02  1.38668914e-09  3.09045475e-08 
 3.27228774e+02  1.38667786e-09  3.09042961e-08 
 3.34774581e+02  1.38666684e-09  3.09040504e-08 
 3.42494392e+02  1.38665606e-09  3.09038102e-08 
 3.50392221e+02  1.38664553e-09  3.09035754e-08 
 3.58472171e+02  1.38663523e-09  3.09033459e-08 
 3.66738442e+02  1.38662516e-09  3.09031216e-08 
 3.75195331e+02  1.38661533e-09  3.09029023e-08 
 3.83847234e+02  1.38660571e-09  3.09026880e-08 
 3.92698648e+02  1.38659631e-09  3.09024785e-08 
 4.01754173e+02  1.38658712e-09  3.09022737e-08 
 4.11018515e+02  1.38657814e-09  3.09020735e-08 
 4.20496491e+02  1.38656936e-09  3.09018778e-08 
 4.30193027e+02  1.38656078e-09  3.09016866e-08 
 4.40113162e+02  1.38655240e-09  3.09014996e-08 
 4.50262052e+02  1.38654420e-09  3.09013169e-08 
 4.60644974e+02  1.38653618e-09  3.09011382e-08 
 4.71267322e+02  1.38652835e-09  3.09009636e-08 
 4.82134619e+02  1.38652069e-09  3.09007930e-08 
 4.93252513e+02  1.38651321e-09  3.09006261e-08 
 5.04626783e+02  1.38650590e-09  3.09004631e-08 
 5.16263340e+02  1.38649874e-09  3.09003037e-08 
 5.28168234e+02  1.38649176e-09  3.09001478e-08 
 5.40347650e+02  1.38648492e-09  3.08999955e-08 
 5.52807921e+02  1.38647825e-09  3.08998467e-08 
 5.65555523e+02  1.38647172e-09  3.08997011e-08 
 5.78597080e+02  1.38646534e-09  3.08995589e-08 
 5.91939372e+02  1.38645910e-09  3.08994199e-08 
 6.05589334e+02  1.38645301e-09  3.08992839e-08 
 6.19554061e+02  1.38644705e-09  3.08991511e-08 
 6.33840810e+02  1.38644122e-09  3.08990212e-08 
 6.48457008e+02  1.38643553e-09  3.08988943e-08 
 6.63410251e+02  1.38642997e-09  3.08987702e-08 
 6.78708313e+02  1.38642453e-09  3.08986489e-08 
 6.94359143e+02  1.38641921e-09  3.08985303e-08 
 7.10370877e+02  1.38641401e-09  3.08984144e-08 
 7.26751838e+02  1.38640893e-09  3.08983011e-08 
 7.43510539e+02  1.38640397e-09  3.08981904e-08 
 7.60655691e+02  1.38639911e-09  3.08980821e-08 
 7.78196206e+02  1.38639437e-09  3.08979763e-08 
 7.96141200e+02  1.38638973e-09  3.08978729e-08 
 8.14500001e+02  1.38638520e-09  3.08977717e-08 
 8.33282151e+02  1.38638077e-09  3.08976729e-08 
 8.52497412e+02  1.38637644e-09  3.08975763e-08 
