 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -3.84045600e+01  1.86990984e-07 
 1.02329299e+01 -3.84045600e+01  1.91346564e-07 
 1.04712855e+01 -3.84045600e+01  1.95803598e-07 
 1.07151931e+01 -3.84045600e+01  2.00364450e-07 
 1.09647820e+01 -3.84045600e+01  2.05031537e-07 
 1.12201845e+01 -3.84045600e+01  2.09807335e-07 
 1.14815362e+01 -3.84045600e+01  2.14694376e-07 
 1.17489755e+01 -3.84045600e+01  2.19695250e-07 
 1.20226443e+01 -3.84045600e+01  2.24812610e-07 
 1.23026877e+01 -3.84045600e+01  2.30049169e-07 
 1.25892541e+01 -3.84045600e+01  2.35407702e-07 
 1.28824955e+01 -3.84045600e+01  2.40891052e-07 
 1.31825674e+01 -3.84045600e+01  2.46502125e-07 
 1.34896288e+01 -3.84045600e+01  2.52243897e-07 
 1.38038426e+01 -3.84045600e+01  2.58119412e-07 
 1.41253754e+01 -3.84045600e+01  2.64131786e-07 
 1.44543977e+01 -3.84045600e+01  2.70284206e-07 
 1.47910839e+01 -3.84045600e+01  2.76579934e-07 
 1.51356125e+01 -3.84045600e+01  2.83022308e-07 
 1.54881662e+01 -3.84045600e+01  2.89614744e-07 
 1.58489319e+01 -3.84045600e+01  2.96360738e-07 
 1.62181010e+01 -3.84045600e+01  3.03263867e-07 
 1.65958691e+01 -3.84045600e+01  3.10327789e-07 
 1.69824365e+01 -3.84045600e+01  3.17556252e-07 
 1.73780083e+01 -3.84045600e+01  3.24953088e-07 
 1.77827941e+01 -3.84045600e+01  3.32522217e-07 
 1.81970086e+01 -3.84045600e+01  3.40267655e-07 
 1.86208714e+01 -3.84045600e+01  3.48193507e-07 
 1.90546072e+01 -3.84045600e+01  3.56303975e-07 
 1.94984460e+01 -3.84045600e+01  3.64603361e-07 
 1.99526231e+01 -3.84045600e+01  3.73096064e-07 
 2.04173794e+01 -3.84045600e+01  3.81786588e-07 
 2.08929613e+01 -3.84045600e+01  3.90679540e-07 
 2.13796209e+01 -3.84045600e+01  3.99779636e-07 
 2.18776162e+01 -3.84045600e+01  4.09091700e-07 
 2.23872114e+01 -3.84045600e+01  4.18620669e-07 
 2.29086765e+01 -3.84045600e+01  4.28371597e-07 
 2.34422882e+01 -3.84045600e+01  4.38349654e-07 
 2.39883292e+01 -3.84045600e+01  4.48560129e-07 
 2.45470892e+01 -3.84045600e+01  4.59008437e-07 
