 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -4.16835152e+01  4.66348076e-07 
 1.02329299e+01 -4.16835152e+01  4.77210718e-07 
 1.04712855e+01 -4.16835152e+01  4.88326384e-07 
 1.07151931e+01 -4.16835152e+01  4.99700966e-07 
 1.09647820e+01 -4.16835152e+01  5.11340497e-07 
 1.12201845e+01 -4.16835152e+01  5.23251147e-07 
 1.14815362e+01 -4.16835152e+01  5.35439232e-07 
 1.17489755e+01 -4.16835152e+01  5.47911214e-07 
 1.20226443e+01 -4.16835152e+01  5.60673706e-07 
 1.23026877e+01 -4.16835152e+01  5.73733474e-07 
 1.25892541e+01 -4.16835152e+01  5.87097443e-07 
 1.28824955e+01 -4.16835152e+01  6.00772700e-07 
 1.31825674e+01 -4.16835152e+01  6.14766494e-07 
 1.34896288e+01 -4.16835152e+01  6.29086245e-07 
 1.38038426e+01 -4.16835152e+01  6.43739546e-07 
 1.41253754e+01 -4.16835152e+01  6.58734166e-07 
 1.44543977e+01 -4.16835152e+01  6.74078056e-07 
 1.47910839e+01 -4.16835152e+01  6.89779351e-07 
 1.51356125e+01 -4.16835152e+01  7.05846376e-07 
 1.54881662e+01 -4.16835152e+01  7.22287650e-07 
 1.58489319e+01 -4.16835152e+01  7.39111891e-07 
 1.62181010e+01 -4.16835152e+01  7.56328018e-07 
 1.65958691e+01 -4.16835152e+01  7.73945161e-07 
 1.69824365e+01 -4.16835152e+01  7.91972660e-07 
 1.73780083e+01 -4.16835152e+01  8.10420073e-07 
 1.77827941e+01 -4.16835152e+01  8.29297181e-07 
 1.81970086e+01 -4.16835152e+01  8.48613994e-07 
 1.86208714e+01 -4.16835152e+01  8.68380753e-07 
 1.90546072e+01 -4.16835152e+01  8.88607939e-07 
 1.94984460e+01 -4.16835152e+01  9.09306277e-07 
 1.99526231e+01 -4.16835152e+01  9.30486741e-07 
 2.04173794e+01 -4.16835152e+01  9.52160562e-07 
 2.08929613e+01 -4.16835152e+01  9.74339231e-07 
 2.13796209e+01 -4.16835152e+01  9.97034507e-07 
 2.18776162e+01 -4.16835152e+01  1.02025842e-06 
 2.23872114e+01 -4.16835152e+01  1.04402330e-06 
 2.29086765e+01 -4.16835152e+01  1.06834172e-06 
 2.34422882e+01 -4.16835152e+01  1.09322660e-06 
 2.39883292e+01 -4.16835152e+01  1.11869112e-06 
 2.45470892e+01 -4.16835152e+01  1.14474878e-06 
 2.51188643e+01 -4.16835152e+01  1.17141340e-06 
 2.57039578e+01 -4.16835152e+01  1.19869913e-06 
 2.63026799e+01 -4.16835152e+01  1.22662042e-06 
 2.69153480e+01 -4.16835152e+01  1.25519208e-06 
 2.75422870e+01 -4.16835152e+01  1.28442926e-06 
 2.81838293e+01 -4.16835152e+01  1.31434746e-06 
 2.88403150e+01 -4.16835152e+01  1.34496254e-06 
 2.95120923e+01 -4.16835152e+01  1.37629074e-06 
 3.01995172e+01 -4.16835152e+01  1.40834867e-06 
 3.09029543e+01 -4.16835152e+01  1.44115333e-06 
 3.16227766e+01 -4.16835152e+01  1.47472210e-06 
 3.23593657e+01 -4.16835152e+01  1.50907279e-06 
 3.31131121e+01 -4.16835152e+01  1.54422361e-06 
 3.38844156e+01 -4.16835152e+01  1.58019320e-06 
 3.46736850e+01 -4.16835152e+01  1.61700063e-06 
 3.54813389e+01 -4.16835152e+01  1.65466541e-06 
 3.63078055e+01 -4.16835152e+01  1.69320752e-06 
