 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -5.79346771e+00  8.54722067e-09 
 1.02329299e+01 -5.79346771e+00  8.74631102e-09 
 1.04712855e+01 -5.79346771e+00  8.95003877e-09 
 1.07151931e+01 -5.79346771e+00  9.15851196e-09 
 1.09647820e+01 -5.79346771e+00  9.37184111e-09 
 1.12201845e+01 -5.79346771e+00  9.59013933e-09 
 1.14815362e+01 -5.79346771e+00  9.81352237e-09 
 1.17489755e+01 -5.79346771e+00  1.00421087e-08 
 1.20226443e+01 -5.79346771e+00  1.02760194e-08 
 1.23026877e+01 -5.79346771e+00  1.05153787e-08 
 1.25892541e+01 -5.79346771e+00  1.07603133e-08 
 1.28824955e+01 -5.79346771e+00  1.10109532e-08 
 1.31825674e+01 -5.79346771e+00  1.12674312e-08 
 1.34896288e+01 -5.79346771e+00  1.15298834e-08 
 1.38038426e+01 -5.79346771e+00  1.17984489e-08 
 1.41253754e+01 -5.79346771e+00  1.20732701e-08 
 1.44543977e+01 -5.79346771e+00  1.23544927e-08 
 1.47910839e+01 -5.79346771e+00  1.26422658e-08 
 1.51356125e+01 -5.79346771e+00  1.29367420e-08 
 1.54881662e+01 -5.79346771e+00  1.32380774e-08 
 1.58489319e+01 -5.79346771e+00  1.35464319e-08 
 1.62181010e+01 -5.79346771e+00  1.38619688e-08 
 1.65958691e+01 -5.79346771e+00  1.41848555e-08 
 1.69824365e+01 -5.79346771e+00  1.45152633e-08 
 1.73780083e+01 -5.79346771e+00  1.48533672e-08 
 1.77827941e+01 -5.79346771e+00  1.51993465e-08 
 1.81970086e+01 -5.79346771e+00  1.55533848e-08 
 1.86208714e+01 -5.79346771e+00  1.59156697e-08 
 1.90546072e+01 -5.79346771e+00  1.62863932e-08 
 1.94984460e+01 -5.79346771e+00  1.66657521e-08 
 1.99526231e+01 -5.79346771e+00  1.70539473e-08 
 2.04173794e+01 -5.79346771e+00  1.74511848e-08 
 2.08929613e+01 -5.79346771e+00  1.78576751e-08 
 2.13796209e+01 -5.79346771e+00  1.82736338e-08 
 2.18776162e+01 -5.79346771e+00  1.86992814e-08 
 2.23872114e+01 -5.79346771e+00  1.91348436e-08 
 2.29086765e+01 -5.79346771e+00  1.95805514e-08 
 2.34422882e+01 -5.79346771e+00  2.00366410e-08 
 2.39883292e+01 -5.79346771e+00  2.05033543e-08 
 2.45470892e+01 -5.79346771e+00  2.09809388e-08 
 2.51188643e+01 -5.79346771e+00  2.14696476e-08 
 2.57039578e+01 -5.79346771e+00  2.19697400e-08 
 2.63026799e+01 -5.79346771e+00  2.24814810e-08 
 2.69153480e+01 -5.79346771e+00  2.30051419e-08 
 2.75422870e+01 -5.79346771e+00  2.35410005e-08 
 2.81838293e+01 -5.79346771e+00  2.40893409e-08 
 2.88403150e+01 -5.79346771e+00  2.46504537e-08 
 2.95120923e+01 -5.79346771e+00  2.52246365e-08 
 3.01995172e+01 -5.79346771e+00  2.58121938e-08 
 3.09029543e+01 -5.79346771e+00  2.64134370e-08 
 3.16227766e+01 -5.79346771e+00  2.70286850e-08 
 3.23593657e+01 -5.79346771e+00  2.76582639e-08 
 3.31131121e+01 -5.79346771e+00  2.83025077e-08 
 3.38844156e+01 -5.79346771e+00  2.89617578e-08 
 3.46736850e+01 -5.79346771e+00  2.96363638e-08 
 3.54813389e+01 -5.79346771e+00  3.03266834e-08 
 3.63078055e+01 -5.79346771e+00  3.10330826e-08 
 3.71535229e+01 -5.79346771e+00  3.17559359e-08 
 3.80189396e+01 -5.79346771e+00  3.24956267e-08 
 3.89045145e+01 -5.79346771e+00  3.32525471e-08 
 3.98107171e+01 -5.79346771e+00  3.40270984e-08 
 4.07380278e+01 -5.79346771e+00  3.48196913e-08 
 4.16869383e+01 -5.79346771e+00  3.56307461e-08 
 4.26579519e+01 -5.79346771e+00  3.64606928e-08 
 4.36515832e+01 -5.79346771e+00  3.73099715e-08 
 4.46683592e+01 -5.79346771e+00  3.81790323e-08 
 4.57088190e+01 -5.79346771e+00  3.90683362e-08 
 4.67735141e+01 -5.79346771e+00  3.99783547e-08 
 4.78630092e+01 -5.79346771e+00  4.09095702e-08 
 4.89778819e+01 -5.79346771e+00  4.18624765e-08 
 5.01187234e+01 -5.79346771e+00  4.28375788e-08 
 5.12861384e+01 -5.79346771e+00  4.38353942e-08 
 5.24807460e+01 -5.79346771e+00  4.48564517e-08 
 5.37031796e+01 -5.79346771e+00  4.59012927e-08 
 5.49540874e+01 -5.79346771e+00  4.69704712e-08 
 5.62341325e+01 -5.79346771e+00  4.80645540e-08 
 5.75439937e+01 -5.79346771e+00  4.91841213e-08 
 5.88843655e+01 -5.79346771e+00  5.03297666e-08 
 6.02559586e+01 -5.79346771e+00  5.15020975e-08 
 6.16595002e+01 -5.79346771e+00  5.27017355e-08 
 6.30957344e+01 -5.79346771e+00  5.39293166e-08 
 6.45654229e+01 -5.79346771e+00  5.51854917e-08 
 6.60693448e+01 -5.79346771e+00  5.64709270e-08 
 6.76082975e+01 -5.79346771e+00  5.77863038e-08 
 6.91830971e+01 -5.79346771e+00  5.91323198e-08 
 7.07945784e+01 -5.79346771e+00  6.05096884e-08 
 7.24435960e+01 -5.79346771e+00  6.19191401e-08 
 7.41310241e+01 -5.79346771e+00  6.33614222e-08 
 7.58577575e+01 -5.79346771e+00  6.48372993e-08 
 7.76247117e+01 -5.79346771e+00  6.63475540e-08 
 7.94328235e+01 -5.79346771e+00  6.78929871e-08 
 8.12830516e+01 -5.79346771e+00  6.94744179e-08 
 8.31763771e+01 -5.79346771e+00  7.10926850e-08 
 8.51138038e+01 -5.79346771e+00  7.27486464e-08 
 8.70963590e+01 -5.79346771e+00  7.44431800e-08 
 8.91250938e+01 -5.79346771e+00  7.61771844e-08 
 9.12010839e+01 -5.79346771e+00  7.79515790e-08 
 9.33254301e+01 -5.79346771e+00  7.97673045e-08 
 9.54992586e+01 -5.79346771e+00  8.16253237e-08 
 9.77237221e+01 -5.79346771e+00  8.35266218e-08 
 1.00000000e+02 -5.79346771e+00  8.54722067e-08 
