 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -4.47633376e+01  3.55060418e-06 
 1.02329299e+01 -4.47633376e+01  3.63330838e-06 
 1.04712855e+01 -4.47633376e+01  3.71793900e-06 
 1.07151931e+01 -4.47633376e+01  3.80454093e-06 
 1.09647820e+01 -4.47633376e+01  3.89316007e-06 
 1.12201845e+01 -4.47633376e+01  3.98384342e-06 
 1.14815362e+01 -4.47633376e+01  4.07663905e-06 
 1.17489755e+01 -4.47633376e+01  4.17159617e-06 
 1.20226443e+01 -4.47633376e+01  4.26876513e-06 
 1.23026877e+01 -4.47633376e+01  4.36819744e-06 
 1.25892541e+01 -4.47633376e+01  4.46994583e-06 
 1.28824955e+01 -4.47633376e+01  4.57406425e-06 
 1.31825674e+01 -4.47633376e+01  4.68060789e-06 
 1.34896288e+01 -4.47633376e+01  4.78963325e-06 
 1.38038426e+01 -4.47633376e+01  4.90119814e-06 
 1.41253754e+01 -4.47633376e+01  5.01536171e-06 
 1.44543977e+01 -4.47633376e+01  5.13218449e-06 
 1.47910839e+01 -4.47633376e+01  5.25172843e-06 
 1.51356125e+01 -4.47633376e+01  5.37405690e-06 
 1.54881662e+01 -4.47633376e+01  5.49923476e-06 
 1.58489319e+01 -4.47633376e+01  5.62732840e-06 
 1.62181010e+01 -4.47633376e+01  5.75840571e-06 
 1.65958691e+01 -4.47633376e+01  5.89253621e-06 
 1.69824365e+01 -4.47633376e+01  6.02979101e-06 
 1.73780083e+01 -4.47633376e+01  6.17024289e-06 
 1.77827941e+01 -4.47633376e+01  6.31396631e-06 
 1.81970086e+01 -4.47633376e+01  6.46103748e-06 
 1.86208714e+01 -4.47633376e+01  6.61153437e-06 
 1.90546072e+01 -4.47633376e+01  6.76553679e-06 
 1.94984460e+01 -4.47633376e+01  6.92312639e-06 
 1.99526231e+01 -4.47633376e+01  7.08438672e-06 
 2.04173794e+01 -4.47633376e+01  7.24940328e-06 
 2.08929613e+01 -4.47633376e+01  7.41826358e-06 
 2.13796209e+01 -4.47633376e+01  7.59105713e-06 
 2.18776162e+01 -4.47633376e+01  7.76787557e-06 
 2.23872114e+01 -4.47633376e+01  7.94881264e-06 
 2.29086765e+01 -4.47633376e+01  8.13396427e-06 
 2.34422882e+01 -4.47633376e+01  8.32342863e-06 
 2.39883292e+01 -4.47633376e+01  8.51730619e-06 
 2.45470892e+01 -4.47633376e+01  8.71569974e-06 
 2.51188643e+01 -4.47633376e+01  8.91871447e-06 
 2.57039578e+01 -4.47633376e+01  9.12645801e-06 
 2.63026799e+01 -4.47633376e+01  9.33904053e-06 
 2.69153480e+01 -4.47633376e+01  9.55657473e-06 
 2.75422870e+01 -4.47633376e+01  9.77917595e-06 
 2.81838293e+01 -4.47633376e+01  1.00069622e-05 
 2.88403150e+01 -4.47633376e+01  1.02400543e-05 
 2.95120923e+01 -4.47633376e+01  1.04785758e-05 
 3.01995172e+01 -4.47633376e+01  1.07226532e-05 
 3.09029543e+01 -4.47633376e+01  1.09724159e-05 
 3.16227766e+01 -4.47633376e+01  1.12279963e-05 
 3.23593657e+01 -4.47633376e+01  1.14895299e-05 
 3.31131121e+01 -4.47633376e+01  1.17571554e-05 
 3.38844156e+01 -4.47633376e+01  1.20310148e-05 
 3.46736850e+01 -4.47633376e+01  1.23112531e-05 
 3.54813389e+01 -4.47633376e+01  1.25980190e-05 
 3.63078055e+01 -4.47633376e+01  1.28914646e-05 
 3.71535229e+01 -4.47633376e+01  1.31917454e-05 
 3.80189396e+01 -4.47633376e+01  1.34990206e-05 
 3.89045145e+01 -4.47633376e+01  1.38134532e-05 
 3.98107171e+01 -4.47633376e+01  1.41352098e-05 
 4.07380278e+01 -4.47633376e+01  1.44644612e-05 
 4.16869383e+01 -4.47633376e+01  1.48013818e-05 
 4.26579519e+01 -4.47633376e+01  1.51461502e-05 
 4.36515832e+01 -4.47633376e+01  1.54989494e-05 
 4.46683592e+01 -4.47633376e+01  1.58599663e-05 
 4.57088190e+01 -4.47633376e+01  1.62293924e-05 
 4.67735141e+01 -4.47633376e+01  1.66074235e-05 
 4.78630092e+01 -4.47633376e+01  1.69942601e-05 
 4.89778819e+01 -4.47633376e+01  1.73901072e-05 
 5.01187234e+01 -4.47633376e+01  1.77951749e-05 
 5.12861384e+01 -4.47633376e+01  1.82096777e-05 
 5.24807460e+01 -4.47633376e+01  1.86338356e-05 
 5.37031796e+01 -4.47633376e+01  1.90678734e-05 
 5.49540874e+01 -4.47633376e+01  1.95120212e-05 
 5.62341325e+01 -4.47633376e+01  1.99665146e-05 
 5.75439937e+01 -4.47633376e+01  2.04315945e-05 
 5.88843655e+01 -4.47633376e+01  2.09075074e-05 
 6.02559586e+01 -4.47633376e+01  2.13945059e-05 
 6.16595002e+01 -4.47633376e+01  2.18928479e-05 
 6.30957344e+01 -4.47633376e+01  2.24027979e-05 
 6.45654229e+01 -4.47633376e+01  2.29246261e-05 
 6.60693448e+01 -4.47633376e+01  2.34586092e-05 
 6.76082975e+01 -4.47633376e+01  2.40050304e-05 
 6.91830971e+01 -4.47633376e+01  2.45641794e-05 
 7.07945784e+01 -4.47633376e+01  2.51363526e-05 
 7.24435960e+01 -4.47633376e+01  2.57218535e-05 
 7.41310241e+01 -4.47633376e+01  2.63209924e-05 
 7.58577575e+01 -4.47633376e+01  2.69340871e-05 
 7.76247117e+01 -4.47633376e+01  2.75614626e-05 
 7.94328235e+01 -4.47633376e+01  2.82034515e-05 
 8.12830516e+01 -4.47633376e+01  2.88603943e-05 
 8.31763771e+01 -4.47633376e+01  2.95326392e-05 
 8.51138038e+01 -4.47633376e+01  3.02205428e-05 
 8.70963590e+01 -4.47633376e+01  3.09244696e-05 
 8.91250938e+01 -4.47633376e+01  3.16447931e-05 
 9.12010839e+01 -4.47633376e+01  3.23818950e-05 
 9.33254301e+01 -4.47633376e+01  3.31361662e-05 
 9.54992586e+01 -4.47633376e+01  3.39080067e-05 
 9.77237221e+01 -4.47633376e+01  3.46978256e-05 
 1.00000000e+02 -4.47633376e+01  3.55060418e-05 
 1.02329299e+02 -4.47633376e+01  3.63330838e-05 
 1.04712855e+02 -4.47633376e+01  3.71793900e-05 
 1.07151931e+02 -4.47633376e+01  3.80454093e-05 
 1.09647820e+02 -4.47633376e+01  3.89316007e-05 
 1.12201845e+02 -4.47633376e+01  3.98384342e-05 
 1.14815362e+02 -4.47633376e+01  4.07663905e-05 
 1.17489755e+02 -4.47633376e+01  4.17159617e-05 
 1.20226443e+02 -4.47633376e+01  4.26876513e-05 
 1.23026877e+02 -4.47633376e+01  4.36819744e-05 
 1.25892541e+02 -4.47633376e+01  4.46994583e-05 
 1.28824955e+02 -4.47633376e+01  4.57406425e-05 
 1.31825674e+02 -4.47633376e+01  4.68060789e-05 
 1.34896288e+02 -4.47633376e+01  4.78963325e-05 
 1.38038426e+02 -4.47633376e+01  4.90119814e-05 
 1.41253754e+02 -4.47633376e+01  5.01536171e-05 
 1.44543977e+02 -4.47633376e+01  5.13218449e-05 
 1.47910839e+02 -4.47633376e+01  5.25172843e-05 
 1.51356125e+02 -4.47633376e+01  5.37405690e-05 
 1.54881662e+02 -4.47633376e+01  5.49923476e-05 
 1.58489319e+02 -4.47633376e+01  5.62732840e-05 
 1.62181010e+02 -4.47633376e+01  5.75840571e-05 
 1.65958691e+02 -4.47633376e+01  5.89253621e-05 
 1.69824365e+02 -4.47633376e+01  6.02979101e-05 
 1.73780083e+02 -4.47633376e+01  6.17024289e-05 
 1.77827941e+02 -4.47633376e+01  6.31396631e-05 
 1.81970086e+02 -4.47633376e+01  6.46103748e-05 
 1.86208714e+02 -4.47633376e+01  6.61153437e-05 
 1.90546072e+02 -4.47633376e+01  6.76553679e-05 
 1.94984460e+02 -4.47633376e+01  6.92312639e-05 
 1.99526231e+02 -4.47633376e+01  7.08438672e-05 
 2.04173794e+02 -4.47633376e+01  7.24940328e-05 
 2.08929613e+02 -4.47633376e+01  7.41826358e-05 
 2.13796209e+02 -4.47633376e+01  7.59105713e-05 
 2.18776162e+02 -4.47633376e+01  7.76787557e-05 
 2.23872114e+02 -4.47633376e+01  7.94881264e-05 
 2.29086765e+02 -4.47633376e+01  8.13396427e-05 
 2.34422882e+02 -4.47633376e+01  8.32342863e-05 
 2.39883292e+02 -4.47633376e+01  8.51730619e-05 
 2.45470892e+02 -4.47633376e+01  8.71569974e-05 
 2.51188643e+02 -4.47633376e+01  8.91871447e-05 
 2.57039578e+02 -4.47633376e+01  9.12645801e-05 
 2.63026799e+02 -4.47633376e+01  9.33904053e-05 
 2.69153480e+02 -4.47633376e+01  9.55657473e-05 
 2.75422870e+02 -4.47633376e+01  9.77917595e-05 
 2.81838293e+02 -4.47633376e+01  1.00069622e-04 
 2.88403150e+02 -4.47633376e+01  1.02400543e-04 
 2.95120923e+02 -4.47633376e+01  1.04785758e-04 
 3.01995172e+02 -4.47633376e+01  1.07226532e-04 
 3.09029543e+02 -4.47633376e+01  1.09724159e-04 
 3.16227766e+02 -4.47633376e+01  1.12279963e-04 
 3.23593657e+02 -4.47633376e+01  1.14895299e-04 
 3.31131121e+02 -4.47633376e+01  1.17571554e-04 
 3.38844156e+02 -4.47633376e+01  1.20310148e-04 
 3.46736850e+02 -4.47633376e+01  1.23112531e-04 
 3.54813389e+02 -4.47633376e+01  1.25980190e-04 
 3.63078055e+02 -4.47633376e+01  1.28914646e-04 
 3.71535229e+02 -4.47633376e+01  1.31917454e-04 
 3.80189396e+02 -4.47633376e+01  1.34990206e-04 
 3.89045145e+02 -4.47633376e+01  1.38134532e-04 
 3.98107171e+02 -4.47633376e+01  1.41352098e-04 
 4.07380278e+02 -4.47633376e+01  1.44644612e-04 
 4.16869383e+02 -4.47633376e+01  1.48013818e-04 
 4.26579519e+02 -4.47633376e+01  1.51461502e-04 
 4.36515832e+02 -4.47633376e+01  1.54989494e-04 
 4.46683592e+02 -4.47633376e+01  1.58599663e-04 
 4.57088190e+02 -4.47633376e+01  1.62293924e-04 
 4.67735141e+02 -4.47633376e+01  1.66074235e-04 
 4.78630092e+02 -4.47633376e+01  1.69942601e-04 
 4.89778819e+02 -4.47633376e+01  1.73901072e-04 
 5.01187234e+02 -4.47633376e+01  1.77951749e-04 
 5.12861384e+02 -4.47633376e+01  1.82096777e-04 
 5.24807460e+02 -4.47633376e+01  1.86338356e-04 
 5.37031796e+02 -4.47633376e+01  1.90678734e-04 
 5.49540874e+02 -4.47633376e+01  1.95120212e-04 
 5.62341325e+02 -4.47633376e+01  1.99665146e-04 
 5.75439937e+02 -4.47633376e+01  2.04315945e-04 
 5.88843655e+02 -4.47633376e+01  2.09075074e-04 
 6.02559586e+02 -4.47633376e+01  2.13945059e-04 
 6.16595002e+02 -4.47633376e+01  2.18928479e-04 
 6.30957344e+02 -4.47633376e+01  2.24027979e-04 
 6.45654229e+02 -4.47633376e+01  2.29246261e-04 
 6.60693448e+02 -4.47633376e+01  2.34586092e-04 
 6.76082975e+02 -4.47633376e+01  2.40050304e-04 
 6.91830971e+02 -4.47633376e+01  2.45641794e-04 
 7.07945784e+02 -4.47633376e+01  2.51363526e-04 
 7.24435960e+02 -4.47633376e+01  2.57218535e-04 
 7.41310241e+02 -4.47633376e+01  2.63209924e-04 
 7.58577575e+02 -4.47633376e+01  2.69340871e-04 
 7.76247117e+02 -4.47633376e+01  2.75614626e-04 
 7.94328235e+02 -4.47633376e+01  2.82034515e-04 
 8.12830516e+02 -4.47633376e+01  2.88603943e-04 
 8.31763771e+02 -4.47633376e+01  2.95326392e-04 
 8.51138038e+02 -4.47633376e+01  3.02205428e-04 
 8.70963590e+02 -4.47633376e+01  3.09244696e-04 
 8.91250938e+02 -4.47633376e+01  3.16447931e-04 
 9.12010839e+02 -4.47633376e+01  3.23818950e-04 
 9.33254301e+02 -4.47633376e+01  3.31361662e-04 
 9.54992586e+02 -4.47633376e+01  3.39080067e-04 
 9.77237221e+02 -4.47633376e+01  3.46978256e-04 
 1.00000000e+03 -4.47633376e+01  3.55060418e-04 
 1.02329299e+03 -4.47633376e+01  3.63330838e-04 
 1.04712855e+03 -4.47633376e+01  3.71793900e-04 
 1.07151931e+03 -4.47633376e+01  3.80454093e-04 
 1.09647820e+03 -4.47633376e+01  3.89316007e-04 
 1.12201845e+03 -4.47633376e+01  3.98384342e-04 
 1.14815362e+03 -4.47633376e+01  4.07663905e-04 
 1.17489755e+03 -4.47633376e+01  4.17159617e-04 
 1.20226443e+03 -4.47633376e+01  4.26876513e-04 
 1.23026877e+03 -4.47633376e+01  4.36819744e-04 
 1.25892541e+03 -4.47633376e+01  4.46994583e-04 
 1.28824955e+03 -4.47633376e+01  4.57406424e-04 
 1.31825674e+03 -4.47633376e+01  4.68060789e-04 
 1.34896288e+03 -4.47633376e+01  4.78963325e-04 
 1.38038426e+03 -4.47633376e+01  4.90119814e-04 
 1.41253754e+03 -4.47633376e+01  5.01536171e-04 
 1.44543977e+03 -4.47633376e+01  5.13218449e-04 
 1.47910839e+03 -4.47633376e+01  5.25172843e-04 
 1.51356125e+03 -4.47633376e+01  5.37405690e-04 
 1.54881662e+03 -4.47633376e+01  5.49923476e-04 
 1.58489319e+03 -4.47633376e+01  5.62732840e-04 
 1.62181010e+03 -4.47633376e+01  5.75840571e-04 
 1.65958691e+03 -4.47633376e+01  5.89253621e-04 
 1.69824365e+03 -4.47633376e+01  6.02979101e-04 
 1.73780083e+03 -4.47633376e+01  6.17024289e-04 
 1.77827941e+03 -4.47633376e+01  6.31396631e-04 
 1.81970086e+03 -4.47633376e+01  6.46103748e-04 
 1.86208714e+03 -4.47633376e+01  6.61153437e-04 
 1.90546072e+03 -4.47633376e+01  6.76553679e-04 
 1.94984460e+03 -4.47633375e+01  6.92312639e-04 
 1.99526231e+03 -4.47633375e+01  7.08438672e-04 
 2.04173794e+03 -4.47633375e+01  7.24940328e-04 
 2.08929613e+03 -4.47633375e+01  7.41826358e-04 
 2.13796209e+03 -4.47633375e+01  7.59105713e-04 
 2.18776162e+03 -4.47633375e+01  7.76787557e-04 
 2.23872114e+03 -4.47633375e+01  7.94881263e-04 
 2.29086765e+03 -4.47633375e+01  8.13396426e-04 
 2.34422882e+03 -4.47633375e+01  8.32342863e-04 
 2.39883292e+03 -4.47633375e+01  8.51730619e-04 
 2.45470892e+03 -4.47633375e+01  8.71569974e-04 
 2.51188643e+03 -4.47633375e+01  8.91871446e-04 
 2.57039578e+03 -4.47633375e+01  9.12645801e-04 
 2.63026799e+03 -4.47633375e+01  9.33904053e-04 
 2.69153480e+03 -4.47633375e+01  9.55657473e-04 
 2.75422870e+03 -4.47633375e+01  9.77917595e-04 
 2.81838293e+03 -4.47633375e+01  1.00069622e-03 
 2.88403150e+03 -4.47633375e+01  1.02400543e-03 
 2.95120923e+03 -4.47633375e+01  1.04785758e-03 
 3.01995172e+03 -4.47633375e+01  1.07226532e-03 
 3.09029543e+03 -4.47633375e+01  1.09724159e-03 
 3.16227766e+03 -4.47633375e+01  1.12279963e-03 
 3.23593657e+03 -4.47633375e+01  1.14895299e-03 
 3.31131121e+03 -4.47633375e+01  1.17571554e-03 
 3.38844156e+03 -4.47633375e+01  1.20310148e-03 
 3.46736850e+03 -4.47633375e+01  1.23112531e-03 
 3.54813389e+03 -4.47633375e+01  1.25980190e-03 
 3.63078055e+03 -4.47633375e+01  1.28914646e-03 
 3.71535229e+03 -4.47633375e+01  1.31917454e-03 
 3.80189396e+03 -4.47633375e+01  1.34990206e-03 
 3.89045145e+03 -4.47633375e+01  1.38134532e-03 
 3.98107171e+03 -4.47633375e+01  1.41352098e-03 
 4.07380278e+03 -4.47633375e+01  1.44644612e-03 
 4.16869383e+03 -4.47633375e+01  1.48013817e-03 
 4.26579519e+03 -4.47633375e+01  1.51461502e-03 
 4.36515832e+03 -4.47633375e+01  1.54989494e-03 
 4.46683592e+03 -4.47633375e+01  1.58599663e-03 
 4.57088190e+03 -4.47633375e+01  1.62293924e-03 
 4.67735141e+03 -4.47633375e+01  1.66074235e-03 
 4.78630092e+03 -4.47633375e+01  1.69942600e-03 
 4.89778819e+03 -4.47633375e+01  1.73901072e-03 
 5.01187234e+03 -4.47633375e+01  1.77951748e-03 
 5.12861384e+03 -4.47633375e+01  1.82096777e-03 
 5.24807460e+03 -4.47633375e+01  1.86338356e-03 
 5.37031796e+03 -4.47633375e+01  1.90678734e-03 
 5.49540874e+03 -4.47633375e+01  1.95120212e-03 
 5.62341325e+03 -4.47633375e+01  1.99665146e-03 
 5.75439937e+03 -4.47633375e+01  2.04315944e-03 
 5.88843655e+03 -4.47633375e+01  2.09075074e-03 
 6.02559586e+03 -4.47633375e+01  2.13945058e-03 
 6.16595002e+03 -4.47633375e+01  2.18928479e-03 
 6.30957344e+03 -4.47633375e+01  2.24027978e-03 
 6.45654229e+03 -4.47633374e+01  2.29246260e-03 
 6.60693448e+03 -4.47633374e+01  2.34586091e-03 
 6.76082975e+03 -4.47633374e+01  2.40050303e-03 
 6.91830971e+03 -4.47633374e+01  2.45641793e-03 
 7.07945784e+03 -4.47633374e+01  2.51363525e-03 
 7.24435960e+03 -4.47633374e+01  2.57218534e-03 
 7.41310241e+03 -4.47633374e+01  2.63209923e-03 
 7.58577575e+03 -4.47633374e+01  2.69340870e-03 
 7.76247117e+03 -4.47633374e+01  2.75614625e-03 
 7.94328235e+03 -4.47633374e+01  2.82034514e-03 
 8.12830516e+03 -4.47633374e+01  2.88603942e-03 
 8.31763771e+03 -4.47633374e+01  2.95326391e-03 
 8.51138038e+03 -4.47633374e+01  3.02205426e-03 
 8.70963590e+03 -4.47633374e+01  3.09244695e-03 
 8.91250938e+03 -4.47633373e+01  3.16447929e-03 
 9.12010839e+03 -4.47633373e+01  3.23818948e-03 
 9.33254301e+03 -4.47633373e+01  3.31361661e-03 
 9.54992586e+03 -4.47633373e+01  3.39080065e-03 
 9.77237221e+03 -4.47633373e+01  3.46978254e-03 
 1.00000000e+04 -4.47633373e+01  3.55060416e-03 
 1.02329299e+04 -4.47633373e+01  3.63330835e-03 
 1.04712855e+04 -4.47633373e+01  3.71793898e-03 
 1.07151931e+04 -4.47633372e+01  3.80454090e-03 
 1.09647820e+04 -4.47633372e+01  3.89316004e-03 
 1.12201845e+04 -4.47633372e+01  3.98384338e-03 
 1.14815362e+04 -4.47633372e+01  4.07663902e-03 
 1.17489755e+04 -4.47633372e+01  4.17159614e-03 
 1.20226443e+04 -4.47633372e+01  4.26876509e-03 
 1.23026877e+04 -4.47633371e+01  4.36819740e-03 
 1.25892541e+04 -4.47633371e+01  4.46994579e-03 
 1.28824955e+04 -4.47633371e+01  4.57406420e-03 
 1.31825674e+04 -4.47633371e+01  4.68060784e-03 
 1.34896288e+04 -4.47633371e+01  4.78963320e-03 
 1.38038426e+04 -4.47633370e+01  4.90119808e-03 
 1.41253754e+04 -4.47633370e+01  5.01536165e-03 
 1.44543977e+04 -4.47633370e+01  5.13218443e-03 
 1.47910839e+04 -4.47633370e+01  5.25172836e-03 
 1.51356125e+04 -4.47633369e+01  5.37405682e-03 
 1.54881662e+04 -4.47633369e+01  5.49923468e-03 
 1.58489319e+04 -4.47633369e+01  5.62732831e-03 
 1.62181010e+04 -4.47633368e+01  5.75840562e-03 
 1.65958691e+04 -4.47633368e+01  5.89253611e-03 
 1.69824365e+04 -4.47633368e+01  6.02979091e-03 
 1.73780083e+04 -4.47633367e+01  6.17024278e-03 
 1.77827941e+04 -4.47633367e+01  6.31396619e-03 
 1.81970086e+04 -4.47633366e+01  6.46103735e-03 
 1.86208714e+04 -4.47633366e+01  6.61153423e-03 
 1.90546072e+04 -4.47633366e+01  6.76553664e-03 
 1.94984460e+04 -4.47633365e+01  6.92312623e-03 
 1.99526231e+04 -4.47633365e+01  7.08438655e-03 
 2.04173794e+04 -4.47633364e+01  7.24940310e-03 
 2.08929613e+04 -4.47633363e+01  7.41826338e-03 
 2.13796209e+04 -4.47633363e+01  7.59105692e-03 
 2.18776162e+04 -4.47633362e+01  7.76787534e-03 
 2.23872114e+04 -4.47633362e+01  7.94881239e-03 
 2.29086765e+04 -4.47633361e+01  8.13396401e-03 
 2.34422882e+04 -4.47633360e+01  8.32342835e-03 
 2.39883292e+04 -4.47633360e+01  8.51730589e-03 
 2.45470892e+04 -4.47633359e+01  8.71569942e-03 
 2.51188643e+04 -4.47633358e+01  8.91871412e-03 
 2.57039578e+04 -4.47633357e+01  9.12645765e-03 
 2.63026799e+04 -4.47633356e+01  9.33904014e-03 
 2.69153480e+04 -4.47633356e+01  9.55657431e-03 
 2.75422870e+04 -4.47633355e+01  9.77917550e-03 
 2.81838293e+04 -4.47633354e+01  1.00069617e-02 
 2.88403150e+04 -4.47633353e+01  1.02400538e-02 
 2.95120923e+04 -4.47633351e+01  1.04785753e-02 
 3.01995172e+04 -4.47633350e+01  1.07226526e-02 
 3.09029543e+04 -4.47633349e+01  1.09724152e-02 
 3.16227766e+04 -4.47633348e+01  1.12279956e-02 
 3.23593657e+04 -4.47633347e+01  1.14895292e-02 
 3.31131121e+04 -4.47633345e+01  1.17571547e-02 
 3.38844156e+04 -4.47633344e+01  1.20310139e-02 
 3.46736850e+04 -4.47633342e+01  1.23112522e-02 
