 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -3.75393140e+01  1.52340409e-07 
 1.02329299e+01 -3.75393140e+01  1.55888873e-07 
 1.04712855e+01 -3.75393140e+01  1.59519992e-07 
 1.07151931e+01 -3.75393140e+01  1.63235689e-07 
 1.09647820e+01 -3.75393140e+01  1.67037937e-07 
 1.12201845e+01 -3.75393140e+01  1.70928751e-07 
 1.14815362e+01 -3.75393140e+01  1.74910193e-07 
 1.17489755e+01 -3.75393140e+01  1.78984374e-07 
 1.20226443e+01 -3.75393140e+01  1.83153456e-07 
 1.23026877e+01 -3.75393140e+01  1.87419648e-07 
 1.25892541e+01 -3.75393140e+01  1.91785212e-07 
 1.28824955e+01 -3.75393140e+01  1.96252464e-07 
 1.31825674e+01 -3.75393140e+01  2.00823771e-07 
 1.34896288e+01 -3.75393140e+01  2.05501558e-07 
 1.38038426e+01 -3.75393140e+01  2.10288304e-07 
 1.41253754e+01 -3.75393140e+01  2.15186548e-07 
 1.44543977e+01 -3.75393140e+01  2.20198886e-07 
 1.47910839e+01 -3.75393140e+01  2.25327977e-07 
 1.51356125e+01 -3.75393140e+01  2.30576540e-07 
 1.54881662e+01 -3.75393140e+01  2.35947358e-07 
 1.58489319e+01 -3.75393140e+01  2.41443278e-07 
 1.62181010e+01 -3.75393140e+01  2.47067214e-07 
 1.65958691e+01 -3.75393140e+01  2.52822149e-07 
 1.69824365e+01 -3.75393140e+01  2.58711133e-07 
 1.73780083e+01 -3.75393140e+01  2.64737289e-07 
 1.77827941e+01 -3.75393140e+01  2.70903813e-07 
 1.81970086e+01 -3.75393140e+01  2.77213974e-07 
 1.86208714e+01 -3.75393140e+01  2.83671116e-07 
 1.90546072e+01 -3.75393140e+01  2.90278666e-07 
 1.94984460e+01 -3.75393140e+01  2.97040124e-07 
 1.99526231e+01 -3.75393140e+01  3.03959078e-07 
 2.04173794e+01 -3.75393140e+01  3.11039194e-07 
 2.08929613e+01 -3.75393140e+01  3.18284228e-07 
 2.13796209e+01 -3.75393140e+01  3.25698020e-07 
 2.18776162e+01 -3.75393140e+01  3.33284501e-07 
 2.23872114e+01 -3.75393140e+01  3.41047694e-07 
 2.29086765e+01 -3.75393140e+01  3.48991716e-07 
 2.34422882e+01 -3.75393140e+01  3.57120777e-07 
 2.39883292e+01 -3.75393140e+01  3.65439189e-07 
 2.45470892e+01 -3.75393140e+01  3.73951361e-07 
 2.51188643e+01 -3.75393140e+01  3.82661807e-07 
 2.57039578e+01 -3.75393140e+01  3.91575146e-07 
 2.63026799e+01 -3.75393140e+01  4.00696102e-07 
 2.69153480e+01 -3.75393140e+01  4.10029514e-07 
 2.75422870e+01 -3.75393140e+01  4.19580328e-07 
 2.81838293e+01 -3.75393140e+01  4.29353609e-07 
 2.88403150e+01 -3.75393140e+01  4.39354540e-07 
 2.95120923e+01 -3.75393140e+01  4.49588421e-07 
 3.01995172e+01 -3.75393140e+01  4.60060681e-07 
 3.09029543e+01 -3.75393140e+01  4.70776871e-07 
 3.16227766e+01 -3.75393140e+01  4.81742673e-07 
 3.23593657e+01 -3.75393140e+01  4.92963901e-07 
 3.31131121e+01 -3.75393140e+01  5.04446506e-07 
 3.38844156e+01 -3.75393140e+01  5.16196574e-07 
 3.46736850e+01 -3.75393140e+01  5.28220337e-07 
 3.54813389e+01 -3.75393140e+01  5.40524169e-07 
 3.63078055e+01 -3.75393140e+01  5.53114595e-07 
 3.71535229e+01 -3.75393140e+01  5.65998289e-07 
 3.80189396e+01 -3.75393140e+01  5.79182082e-07 
 3.89045145e+01 -3.75393140e+01  5.92672966e-07 
 3.98107171e+01 -3.75393140e+01  6.06478093e-07 
 4.07380278e+01 -3.75393140e+01  6.20604782e-07 
 4.16869383e+01 -3.75393140e+01  6.35060525e-07 
 4.26579519e+01 -3.75393140e+01  6.49852985e-07 
 4.36515832e+01 -3.75393140e+01  6.64990005e-07 
 4.46683592e+01 -3.75393140e+01  6.80479612e-07 
 4.57088190e+01 -3.75393140e+01  6.96330019e-07 
 4.67735141e+01 -3.75393140e+01  7.12549629e-07 
 4.78630092e+01 -3.75393140e+01  7.29147042e-07 
 4.89778819e+01 -3.75393140e+01  7.46131058e-07 
 5.01187234e+01 -3.75393140e+01  7.63510683e-07 
 5.12861384e+01 -3.75393140e+01  7.81295131e-07 
 5.24807460e+01 -3.75393140e+01  7.99493833e-07 
 5.37031796e+01 -3.75393140e+01  8.18116436e-07 
 5.49540874e+01 -3.75393140e+01  8.37172816e-07 
 5.62341325e+01 -3.75393140e+01  8.56673076e-07 
 5.75439937e+01 -3.75393140e+01  8.76627556e-07 
 5.88843655e+01 -3.75393140e+01  8.97046834e-07 
 6.02559586e+01 -3.75393140e+01  9.17941739e-07 
 6.16595002e+01 -3.75393140e+01  9.39323349e-07 
 6.30957344e+01 -3.75393140e+01  9.61203001e-07 
 6.45654229e+01 -3.75393140e+01  9.83592295e-07 
 6.60693448e+01 -3.75393140e+01  1.00650310e-06 
 6.76082975e+01 -3.75393140e+01  1.02994757e-06 
 6.91830971e+01 -3.75393140e+01  1.05393813e-06 
 7.07945784e+01 -3.75393140e+01  1.07848751e-06 
 7.24435960e+01 -3.75393140e+01  1.10360871e-06 
 7.41310241e+01 -3.75393140e+01  1.12931506e-06 
 7.58577575e+01 -3.75393140e+01  1.15562018e-06 
 7.76247117e+01 -3.75393140e+01  1.18253803e-06 
 7.94328235e+01 -3.75393140e+01  1.21008288e-06 
 8.12830516e+01 -3.75393140e+01  1.23826933e-06 
 8.31763771e+01 -3.75393140e+01  1.26711233e-06 
 8.51138038e+01 -3.75393140e+01  1.29662717e-06 
 8.70963590e+01 -3.75393140e+01  1.32682950e-06 
 8.91250938e+01 -3.75393140e+01  1.35773533e-06 
 9.12010839e+01 -3.75393140e+01  1.38936105e-06 
 9.33254301e+01 -3.75393140e+01  1.42172342e-06 
 9.54992586e+01 -3.75393140e+01  1.45483961e-06 
 9.77237221e+01 -3.75393140e+01  1.48872718e-06 
 1.00000000e+02 -3.75393140e+01  1.52340409e-06 
 1.02329299e+02 -3.75393140e+01  1.55888873e-06 
 1.04712855e+02 -3.75393140e+01  1.59519992e-06 
 1.07151931e+02 -3.75393140e+01  1.63235689e-06 
 1.09647820e+02 -3.75393140e+01  1.67037937e-06 
 1.12201845e+02 -3.75393140e+01  1.70928751e-06 
 1.14815362e+02 -3.75393140e+01  1.74910193e-06 
 1.17489755e+02 -3.75393140e+01  1.78984374e-06 
 1.20226443e+02 -3.75393140e+01  1.83153456e-06 
 1.23026877e+02 -3.75393140e+01  1.87419648e-06 
 1.25892541e+02 -3.75393140e+01  1.91785212e-06 
 1.28824955e+02 -3.75393140e+01  1.96252464e-06 
 1.31825674e+02 -3.75393140e+01  2.00823771e-06 
 1.34896288e+02 -3.75393140e+01  2.05501558e-06 
 1.38038426e+02 -3.75393140e+01  2.10288304e-06 
 1.41253754e+02 -3.75393140e+01  2.15186548e-06 
 1.44543977e+02 -3.75393140e+01  2.20198886e-06 
 1.47910839e+02 -3.75393140e+01  2.25327977e-06 
 1.51356125e+02 -3.75393140e+01  2.30576540e-06 
 1.54881662e+02 -3.75393140e+01  2.35947358e-06 
 1.58489319e+02 -3.75393140e+01  2.41443278e-06 
 1.62181010e+02 -3.75393140e+01  2.47067214e-06 
 1.65958691e+02 -3.75393140e+01  2.52822149e-06 
 1.69824365e+02 -3.75393140e+01  2.58711133e-06 
 1.73780083e+02 -3.75393140e+01  2.64737289e-06 
 1.77827941e+02 -3.75393140e+01  2.70903813e-06 
 1.81970086e+02 -3.75393140e+01  2.77213974e-06 
 1.86208714e+02 -3.75393140e+01  2.83671116e-06 
 1.90546072e+02 -3.75393140e+01  2.90278666e-06 
 1.94984460e+02 -3.75393140e+01  2.97040124e-06 
 1.99526231e+02 -3.75393140e+01  3.03959078e-06 
 2.04173794e+02 -3.75393140e+01  3.11039194e-06 
 2.08929613e+02 -3.75393140e+01  3.18284228e-06 
 2.13796209e+02 -3.75393140e+01  3.25698020e-06 
 2.18776162e+02 -3.75393140e+01  3.33284501e-06 
 2.23872114e+02 -3.75393140e+01  3.41047694e-06 
 2.29086765e+02 -3.75393140e+01  3.48991716e-06 
 2.34422882e+02 -3.75393140e+01  3.57120777e-06 
 2.39883292e+02 -3.75393140e+01  3.65439189e-06 
 2.45470892e+02 -3.75393140e+01  3.73951361e-06 
 2.51188643e+02 -3.75393140e+01  3.82661807e-06 
 2.57039578e+02 -3.75393140e+01  3.91575146e-06 
 2.63026799e+02 -3.75393140e+01  4.00696102e-06 
 2.69153480e+02 -3.75393140e+01  4.10029514e-06 
 2.75422870e+02 -3.75393140e+01  4.19580328e-06 
 2.81838293e+02 -3.75393140e+01  4.29353609e-06 
 2.88403150e+02 -3.75393140e+01  4.39354540e-06 
 2.95120923e+02 -3.75393140e+01  4.49588421e-06 
 3.01995172e+02 -3.75393140e+01  4.60060681e-06 
 3.09029543e+02 -3.75393140e+01  4.70776871e-06 
 3.16227766e+02 -3.75393140e+01  4.81742673e-06 
 3.23593657e+02 -3.75393140e+01  4.92963901e-06 
 3.31131121e+02 -3.75393140e+01  5.04446506e-06 
 3.38844156e+02 -3.75393140e+01  5.16196574e-06 
 3.46736850e+02 -3.75393140e+01  5.28220337e-06 
 3.54813389e+02 -3.75393140e+01  5.40524169e-06 
 3.63078055e+02 -3.75393140e+01  5.53114595e-06 
 3.71535229e+02 -3.75393140e+01  5.65998289e-06 
 3.80189396e+02 -3.75393140e+01  5.79182082e-06 
 3.89045145e+02 -3.75393140e+01  5.92672966e-06 
 3.98107171e+02 -3.75393140e+01  6.06478093e-06 
 4.07380278e+02 -3.75393140e+01  6.20604782e-06 
 4.16869383e+02 -3.75393140e+01  6.35060525e-06 
 4.26579519e+02 -3.75393140e+01  6.49852985e-06 
 4.36515832e+02 -3.75393140e+01  6.64990005e-06 
 4.46683592e+02 -3.75393140e+01  6.80479612e-06 
 4.57088190e+02 -3.75393140e+01  6.96330019e-06 
