 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -4.12652721e+01  4.02476941e-07 
 1.02329299e+01 -4.12652721e+01  4.11851833e-07 
 1.04712855e+01 -4.12652721e+01  4.21445095e-07 
 1.07151931e+01 -4.12652721e+01  4.31261812e-07 
 1.09647820e+01 -4.12652721e+01  4.41307190e-07 
 1.12201845e+01 -4.12652721e+01  4.51586555e-07 
 1.14815362e+01 -4.12652721e+01  4.62105358e-07 
 1.17489755e+01 -4.12652721e+01  4.72869174e-07 
 1.20226443e+01 -4.12652721e+01  4.83883712e-07 
 1.23026877e+01 -4.12652721e+01  4.95154812e-07 
 1.25892541e+01 -4.12652721e+01  5.06688449e-07 
 1.28824955e+01 -4.12652721e+01  5.18490739e-07 
 1.31825674e+01 -4.12652721e+01  5.30567940e-07 
 1.34896288e+01 -4.12652721e+01  5.42926455e-07 
 1.38038426e+01 -4.12652721e+01  5.55572836e-07 
 1.41253754e+01 -4.12652721e+01  5.68513790e-07 
 1.44543977e+01 -4.12652721e+01  5.81756178e-07 
 1.47910839e+01 -4.12652721e+01  5.95307020e-07 
 1.51356125e+01 -4.12652721e+01  6.09173501e-07 
 1.54881662e+01 -4.12652721e+01  6.23362975e-07 
 1.58489319e+01 -4.12652721e+01  6.37882964e-07 
 1.62181010e+01 -4.12652721e+01  6.52741167e-07 
 1.65958691e+01 -4.12652721e+01  6.67945462e-07 
 1.69824365e+01 -4.12652721e+01  6.83503911e-07 
 1.73780083e+01 -4.12652721e+01  6.99424762e-07 
 1.77827941e+01 -4.12652721e+01  7.15716457e-07 
 1.81970086e+01 -4.12652721e+01  7.32387635e-07 
 1.86208714e+01 -4.12652721e+01  7.49447135e-07 
 1.90546072e+01 -4.12652721e+01  7.66904001e-07 
 1.94984460e+01 -4.12652721e+01  7.84767490e-07 
 1.99526231e+01 -4.12652721e+01  8.03047073e-07 
 2.04173794e+01 -4.12652721e+01  8.21752443e-07 
 2.08929613e+01 -4.12652721e+01  8.40893516e-07 
 2.13796209e+01 -4.12652721e+01  8.60480442e-07 
 2.18776162e+01 -4.12652721e+01  8.80523606e-07 
 2.23872114e+01 -4.12652721e+01  9.01033636e-07 
 2.29086765e+01 -4.12652721e+01  9.22021405e-07 
 2.34422882e+01 -4.12652721e+01  9.43498043e-07 
 2.39883292e+01 -4.12652721e+01  9.65474936e-07 
 2.45470892e+01 -4.12652721e+01  9.87963736e-07 
 2.51188643e+01 -4.12652721e+01  1.01097637e-06 
 2.57039578e+01 -4.12652721e+01  1.03452503e-06 
 2.63026799e+01 -4.12652721e+01  1.05862222e-06 
 2.69153480e+01 -4.12652721e+01  1.08328069e-06 
 2.75422870e+01 -4.12652721e+01  1.10851354e-06 
 2.81838293e+01 -4.12652721e+01  1.13433414e-06 
 2.88403150e+01 -4.12652721e+01  1.16075618e-06 
 2.95120923e+01 -4.12652721e+01  1.18779366e-06 
 3.01995172e+01 -4.12652721e+01  1.21546093e-06 
 3.09029543e+01 -4.12652721e+01  1.24377265e-06 
 3.16227766e+01 -4.12652721e+01  1.27274384e-06 
 3.23593657e+01 -4.12652721e+01  1.30238985e-06 
 3.31131121e+01 -4.12652721e+01  1.33272641e-06 
 3.38844156e+01 -4.12652721e+01  1.36376959e-06 
 3.46736850e+01 -4.12652721e+01  1.39553587e-06 
 3.54813389e+01 -4.12652721e+01  1.42804208e-06 
 3.63078055e+01 -4.12652721e+01  1.46130545e-06 
 3.71535229e+01 -4.12652721e+01  1.49534363e-06 
