 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -3.42767350e+01  8.98586752e-08 
 1.02329299e+01 -3.42767350e+01  9.19517526e-08 
 1.04712855e+01 -3.42767350e+01  9.40935841e-08 
 1.07151931e+01 -3.42767350e+01  9.62853052e-08 
 1.09647820e+01 -3.42767350e+01  9.85280781e-08 
 1.12201845e+01 -3.42767350e+01  1.00823092e-07 
 1.14815362e+01 -3.42767350e+01  1.03171563e-07 
 1.17489755e+01 -3.42767350e+01  1.05574738e-07 
 1.20226443e+01 -3.42767350e+01  1.08033889e-07 
 1.23026877e+01 -3.42767350e+01  1.10550322e-07 
 1.25892541e+01 -3.42767350e+01  1.13125370e-07 
 1.28824955e+01 -3.42767350e+01  1.15760398e-07 
 1.31825674e+01 -3.42767350e+01  1.18456804e-07 
 1.34896288e+01 -3.42767350e+01  1.21216018e-07 
 1.38038426e+01 -3.42767350e+01  1.24039501e-07 
 1.41253754e+01 -3.42767350e+01  1.26928752e-07 
 1.44543977e+01 -3.42767350e+01  1.29885303e-07 
 1.47910839e+01 -3.42767350e+01  1.32910720e-07 
 1.51356125e+01 -3.42767350e+01  1.36006609e-07 
 1.54881662e+01 -3.42767350e+01  1.39174609e-07 
 1.58489319e+01 -3.42767350e+01  1.42416403e-07 
 1.62181010e+01 -3.42767350e+01  1.45733707e-07 
 1.65958691e+01 -3.42767350e+01  1.49128281e-07 
 1.69824365e+01 -3.42767350e+01  1.52601925e-07 
 1.73780083e+01 -3.42767350e+01  1.56156480e-07 
 1.77827941e+01 -3.42767350e+01  1.59793832e-07 
 1.81970086e+01 -3.42767350e+01  1.63515908e-07 
 1.86208714e+01 -3.42767350e+01  1.67324683e-07 
 1.90546072e+01 -3.42767350e+01  1.71222176e-07 
 1.94984460e+01 -3.42767350e+01  1.75210453e-07 
 1.99526231e+01 -3.42767350e+01  1.79291628e-07 
 2.04173794e+01 -3.42767350e+01  1.83467867e-07 
 2.08929613e+01 -3.42767350e+01  1.87741382e-07 
 2.13796209e+01 -3.42767350e+01  1.92114441e-07 
 2.18776162e+01 -3.42767350e+01  1.96589361e-07 
 2.23872114e+01 -3.42767350e+01  2.01168516e-07 
 2.29086765e+01 -3.42767350e+01  2.05854332e-07 
 2.34422882e+01 -3.42767350e+01  2.10649296e-07 
 2.39883292e+01 -3.42767350e+01  2.15555948e-07 
 2.45470892e+01 -3.42767350e+01  2.20576891e-07 
 2.51188643e+01 -3.42767350e+01  2.25714787e-07 
 2.57039578e+01 -3.42767350e+01  2.30972360e-07 
 2.63026799e+01 -3.42767350e+01  2.36352397e-07 
 2.69153480e+01 -3.42767350e+01  2.41857752e-07 
 2.75422870e+01 -3.42767350e+01  2.47491342e-07 
 2.81838293e+01 -3.42767350e+01  2.53256156e-07 
 2.88403150e+01 -3.42767350e+01  2.59155250e-07 
 2.95120923e+01 -3.42767350e+01  2.65191751e-07 
 3.01995172e+01 -3.42767350e+01  2.71368861e-07 
 3.09029543e+01 -3.42767350e+01  2.77689854e-07 
 3.16227766e+01 -3.42767350e+01  2.84158081e-07 
 3.23593657e+01 -3.42767350e+01  2.90776973e-07 
 3.31131121e+01 -3.42767350e+01  2.97550039e-07 
 3.38844156e+01 -3.42767350e+01  3.04480870e-07 
 3.46736850e+01 -3.42767350e+01  3.11573140e-07 
 3.54813389e+01 -3.42767350e+01  3.18830611e-07 
 3.63078055e+01 -3.42767350e+01  3.26257130e-07 
 3.71535229e+01 -3.42767350e+01  3.33856635e-07 
 3.80189396e+01 -3.42767350e+01  3.41633155e-07 
 3.89045145e+01 -3.42767350e+01  3.49590813e-07 
 3.98107171e+01 -3.42767350e+01  3.57733829e-07 
 4.07380278e+01 -3.42767350e+01  3.66066521e-07 
 4.16869383e+01 -3.42767350e+01  3.74593305e-07 
 4.26579519e+01 -3.42767350e+01  3.83318704e-07 
 4.36515832e+01 -3.42767350e+01  3.92247344e-07 
 4.46683592e+01 -3.42767350e+01  4.01383958e-07 
 4.57088190e+01 -3.42767350e+01  4.10733392e-07 
 4.67735141e+01 -3.42767350e+01  4.20300601e-07 
 4.78630092e+01 -3.42767350e+01  4.30090660e-07 
 4.89778819e+01 -3.42767350e+01  4.40108758e-07 
 5.01187234e+01 -3.42767350e+01  4.50360208e-07 
 5.12861384e+01 -3.42767350e+01  4.60850445e-07 
 5.24807460e+01 -3.42767350e+01  4.71585031e-07 
 5.37031796e+01 -3.42767350e+01  4.82569658e-07 
 5.49540874e+01 -3.42767350e+01  4.93810149e-07 
 5.62341325e+01 -3.42767350e+01  5.05312465e-07 
 5.75439937e+01 -3.42767350e+01  5.17082704e-07 
 5.88843655e+01 -3.42767350e+01  5.29127108e-07 
 6.02559586e+01 -3.42767350e+01  5.41452061e-07 
 6.16595002e+01 -3.42767350e+01  5.54064100e-07 
 6.30957344e+01 -3.42767350e+01  5.66969911e-07 
 6.45654229e+01 -3.42767350e+01  5.80176337e-07 
 6.60693448e+01 -3.42767350e+01  5.93690379e-07 
 6.76082975e+01 -3.42767350e+01  6.07519205e-07 
 6.91830971e+01 -3.42767350e+01  6.21670145e-07 
 7.07945784e+01 -3.42767350e+01  6.36150703e-07 
 7.24435960e+01 -3.42767350e+01  6.50968556e-07 
 7.41310241e+01 -3.42767350e+01  6.66131562e-07 
 7.58577575e+01 -3.42767350e+01  6.81647759e-07 
 7.76247117e+01 -3.42767350e+01  6.97525375e-07 
 7.94328235e+01 -3.42767350e+01  7.13772828e-07 
 8.12830516e+01 -3.42767350e+01  7.30398733e-07 
 8.31763771e+01 -3.42767350e+01  7.47411905e-07 
 8.51138038e+01 -3.42767350e+01  7.64821365e-07 
 8.70963590e+01 -3.42767350e+01  7.82636343e-07 
 8.91250938e+01 -3.42767350e+01  8.00866286e-07 
 9.12010839e+01 -3.42767350e+01  8.19520858e-07 
 9.33254301e+01 -3.42767350e+01  8.38609951e-07 
 9.54992586e+01 -3.42767350e+01  8.58143686e-07 
 9.77237221e+01 -3.42767350e+01  8.78132420e-07 
 1.00000000e+02 -3.42767350e+01  8.98586752e-07 
 1.02329299e+02 -3.42767350e+01  9.19517526e-07 
 1.04712855e+02 -3.42767350e+01  9.40935841e-07 
 1.07151931e+02 -3.42767350e+01  9.62853052e-07 
 1.09647820e+02 -3.42767350e+01  9.85280781e-07 
 1.12201845e+02 -3.42767350e+01  1.00823092e-06 
 1.14815362e+02 -3.42767350e+01  1.03171563e-06 
 1.17489755e+02 -3.42767350e+01  1.05574738e-06 
 1.20226443e+02 -3.42767350e+01  1.08033889e-06 
 1.23026877e+02 -3.42767350e+01  1.10550322e-06 
 1.25892541e+02 -3.42767350e+01  1.13125370e-06 
 1.28824955e+02 -3.42767350e+01  1.15760398e-06 
 1.31825674e+02 -3.42767350e+01  1.18456804e-06 
 1.34896288e+02 -3.42767350e+01  1.21216018e-06 
 1.38038426e+02 -3.42767350e+01  1.24039501e-06 
