 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -3.74954395e+01  1.53504546e-07 
 1.02329299e+01 -3.74954395e+01  1.57080126e-07 
 1.04712855e+01 -3.74954395e+01  1.60738992e-07 
 1.07151931e+01 -3.74954395e+01  1.64483084e-07 
 1.09647820e+01 -3.74954395e+01  1.68314387e-07 
 1.12201845e+01 -3.74954395e+01  1.72234933e-07 
 1.14815362e+01 -3.74954395e+01  1.76246800e-07 
 1.17489755e+01 -3.74954395e+01  1.80352115e-07 
 1.20226443e+01 -3.74954395e+01  1.84553056e-07 
 1.23026877e+01 -3.74954395e+01  1.88851849e-07 
 1.25892541e+01 -3.74954395e+01  1.93250773e-07 
 1.28824955e+01 -3.74954395e+01  1.97752162e-07 
 1.31825674e+01 -3.74954395e+01  2.02358402e-07 
 1.34896288e+01 -3.74954395e+01  2.07071934e-07 
 1.38038426e+01 -3.74954395e+01  2.11895259e-07 
 1.41253754e+01 -3.74954395e+01  2.16830934e-07 
 1.44543977e+01 -3.74954395e+01  2.21881575e-07 
 1.47910839e+01 -3.74954395e+01  2.27049861e-07 
 1.51356125e+01 -3.74954395e+01  2.32338532e-07 
 1.54881662e+01 -3.74954395e+01  2.37750391e-07 
 1.58489319e+01 -3.74954395e+01  2.43288309e-07 
 1.62181010e+01 -3.74954395e+01  2.48955222e-07 
 1.65958691e+01 -3.74954395e+01  2.54754134e-07 
 1.69824365e+01 -3.74954395e+01  2.60688120e-07 
 1.73780083e+01 -3.74954395e+01  2.66760327e-07 
 1.77827941e+01 -3.74954395e+01  2.72973973e-07 
 1.81970086e+01 -3.74954395e+01  2.79332353e-07 
 1.86208714e+01 -3.74954395e+01  2.85838840e-07 
 1.90546072e+01 -3.74954395e+01  2.92496882e-07 
 1.94984460e+01 -3.74954395e+01  2.99310009e-07 
 1.99526231e+01 -3.74954395e+01  3.06281835e-07 
 2.04173794e+01 -3.74954395e+01  3.13416056e-07 
 2.08929613e+01 -3.74954395e+01  3.20716453e-07 
 2.13796209e+01 -3.74954395e+01  3.28186899e-07 
 2.18776162e+01 -3.74954395e+01  3.35831354e-07 
 2.23872114e+01 -3.74954395e+01  3.43653871e-07 
 2.29086765e+01 -3.74954395e+01  3.51658598e-07 
 2.34422882e+01 -3.74954395e+01  3.59849779e-07 
 2.39883292e+01 -3.74954395e+01  3.68231757e-07 
 2.45470892e+01 -3.74954395e+01  3.76808977e-07 
 2.51188643e+01 -3.74954395e+01  3.85585985e-07 
 2.57039578e+01 -3.74954395e+01  3.94567437e-07 
 2.63026799e+01 -3.74954395e+01  4.03758093e-07 
 2.69153480e+01 -3.74954395e+01  4.13162827e-07 
 2.75422870e+01 -3.74954395e+01  4.22786626e-07 
 2.81838293e+01 -3.74954395e+01  4.32634591e-07 
 2.88403150e+01 -3.74954395e+01  4.42711945e-07 
 2.95120923e+01 -3.74954395e+01  4.53024031e-07 
 3.01995172e+01 -3.74954395e+01  4.63576317e-07 
 3.09029543e+01 -3.74954395e+01  4.74374396e-07 
 3.16227766e+01 -3.74954395e+01  4.85423995e-07 
 3.23593657e+01 -3.74954395e+01  4.96730973e-07 
 3.31131121e+01 -3.74954395e+01  5.08301323e-07 
 3.38844156e+01 -3.74954395e+01  5.20141182e-07 
 3.46736850e+01 -3.74954395e+01  5.32256827e-07 
 3.54813389e+01 -3.74954395e+01  5.44654681e-07 
 3.63078055e+01 -3.74954395e+01  5.57341318e-07 
 3.71535229e+01 -3.74954395e+01  5.70323465e-07 
 3.80189396e+01 -3.74954395e+01  5.83608005e-07 
 3.89045145e+01 -3.74954395e+01  5.97201982e-07 
 3.98107171e+01 -3.74954395e+01  6.11112603e-07 
 4.07380278e+01 -3.74954395e+01  6.25347244e-07 
 4.16869383e+01 -3.74954395e+01  6.39913453e-07 
 4.26579519e+01 -3.74954395e+01  6.54818952e-07 
 4.36515832e+01 -3.74954395e+01  6.70071645e-07 
 4.46683592e+01 -3.74954395e+01  6.85679619e-07 
 4.57088190e+01 -3.74954395e+01  7.01651149e-07 
