 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -2.24625242e+01  3.13652062e-08 
 1.02329299e+01 -2.24625242e+01  3.20957957e-08 
 1.04712855e+01 -2.24625242e+01  3.28434028e-08 
 1.07151931e+01 -2.24625242e+01  3.36084239e-08 
 1.09647820e+01 -2.24625242e+01  3.43912647e-08 
 1.12201845e+01 -2.24625242e+01  3.51923402e-08 
 1.14815362e+01 -2.24625242e+01  3.60120751e-08 
 1.17489755e+01 -2.24625242e+01  3.68509041e-08 
 1.20226443e+01 -2.24625242e+01  3.77092719e-08 
 1.23026877e+01 -2.24625242e+01  3.85876337e-08 
 1.25892541e+01 -2.24625242e+01  3.94864551e-08 
 1.28824955e+01 -2.24625242e+01  4.04062128e-08 
 1.31825674e+01 -2.24625242e+01  4.13473944e-08 
 1.34896288e+01 -2.24625242e+01  4.23104990e-08 
 1.38038426e+01 -2.24625242e+01  4.32960371e-08 
 1.41253754e+01 -2.24625242e+01  4.43045313e-08 
 1.44543977e+01 -2.24625242e+01  4.53365164e-08 
 1.47910839e+01 -2.24625242e+01  4.63925396e-08 
 1.51356125e+01 -2.24625242e+01  4.74731606e-08 
 1.54881662e+01 -2.24625242e+01  4.85789526e-08 
 1.58489319e+01 -2.24625242e+01  4.97105018e-08 
 1.62181010e+01 -2.24625242e+01  5.08684081e-08 
 1.65958691e+01 -2.24625242e+01  5.20532855e-08 
 1.69824365e+01 -2.24625242e+01  5.32657623e-08 
 1.73780083e+01 -2.24625242e+01  5.45064813e-08 
 1.77827941e+01 -2.24625242e+01  5.57761004e-08 
 1.81970086e+01 -2.24625242e+01  5.70752926e-08 
 1.86208714e+01 -2.24625242e+01  5.84047470e-08 
 1.90546072e+01 -2.24625242e+01  5.97651683e-08 
 1.94984460e+01 -2.24625242e+01  6.11572779e-08 
 1.99526231e+01 -2.24625242e+01  6.25818139e-08 
 2.04173794e+01 -2.24625242e+01  6.40395316e-08 
 2.08929613e+01 -2.24625242e+01  6.55312039e-08 
 2.13796209e+01 -2.24625242e+01  6.70576218e-08 
 2.18776162e+01 -2.24625242e+01  6.86195944e-08 
 2.23872114e+01 -2.24625242e+01  7.02179501e-08 
 2.29086765e+01 -2.24625242e+01  7.18535363e-08 
 2.34422882e+01 -2.24625242e+01  7.35272202e-08 
 2.39883292e+01 -2.24625242e+01  7.52398891e-08 
 2.45470892e+01 -2.24625242e+01  7.69924513e-08 
 2.51188643e+01 -2.24625242e+01  7.87858359e-08 
 2.57039578e+01 -2.24625242e+01  8.06209937e-08 
 2.63026799e+01 -2.24625242e+01  8.24988979e-08 
 2.69153480e+01 -2.24625242e+01  8.44205441e-08 
 2.75422870e+01 -2.24625242e+01  8.63869512e-08 
 2.81838293e+01 -2.24625242e+01  8.83991618e-08 
 2.88403150e+01 -2.24625242e+01  9.04582428e-08 
 2.95120923e+01 -2.24625242e+01  9.25652859e-08 
 3.01995172e+01 -2.24625242e+01  9.47214084e-08 
 3.09029543e+01 -2.24625242e+01  9.69277534e-08 
 3.16227766e+01 -2.24625242e+01  9.91854908e-08 
 3.23593657e+01 -2.24625242e+01  1.01495818e-07 
 3.31131121e+01 -2.24625242e+01  1.03859959e-07 
 3.38844156e+01 -2.24625242e+01  1.06279168e-07 
 3.46736850e+01 -2.24625242e+01  1.08754728e-07 
 3.54813389e+01 -2.24625242e+01  1.11287951e-07 
 3.63078055e+01 -2.24625242e+01  1.13880181e-07 
 3.71535229e+01 -2.24625242e+01  1.16532791e-07 
 3.80189396e+01 -2.24625242e+01  1.19247188e-07 
 3.89045145e+01 -2.24625242e+01  1.22024812e-07 
 3.98107171e+01 -2.24625242e+01  1.24867135e-07 
 4.07380278e+01 -2.24625242e+01  1.27775664e-07 
 4.16869383e+01 -2.24625242e+01  1.30751942e-07 
 4.26579519e+01 -2.24625242e+01  1.33797546e-07 
 4.36515832e+01 -2.24625242e+01  1.36914091e-07 
 4.46683592e+01 -2.24625242e+01  1.40103230e-07 
 4.57088190e+01 -2.24625242e+01  1.43366653e-07 
 4.67735141e+01 -2.24625242e+01  1.46706091e-07 
 4.78630092e+01 -2.24625242e+01  1.50123315e-07 
 4.89778819e+01 -2.24625242e+01  1.53620137e-07 
 5.01187234e+01 -2.24625242e+01  1.57198409e-07 
 5.12861384e+01 -2.24625242e+01  1.60860031e-07 
 5.24807460e+01 -2.24625242e+01  1.64606942e-07 
 5.37031796e+01 -2.24625242e+01  1.68441130e-07 
 5.49540874e+01 -2.24625242e+01  1.72364628e-07 
 5.62341325e+01 -2.24625242e+01  1.76379516e-07 
 5.75439937e+01 -2.24625242e+01  1.80487923e-07 
 5.88843655e+01 -2.24625242e+01  1.84692027e-07 
 6.02559586e+01 -2.24625242e+01  1.88994057e-07 
 6.16595002e+01 -2.24625242e+01  1.93396294e-07 
 6.30957344e+01 -2.24625242e+01  1.97901072e-07 
 6.45654229e+01 -2.24625242e+01  2.02510780e-07 
 6.60693448e+01 -2.24625242e+01  2.07227862e-07 
 6.76082975e+01 -2.24625242e+01  2.12054819e-07 
 6.91830971e+01 -2.24625242e+01  2.16994211e-07 
 7.07945784e+01 -2.24625242e+01  2.22048655e-07 
 7.24435960e+01 -2.24625242e+01  2.27220833e-07 
 7.41310241e+01 -2.24625242e+01  2.32513486e-07 
 7.58577575e+01 -2.24625242e+01  2.37929421e-07 
 7.76247117e+01 -2.24625242e+01  2.43471509e-07 
 7.94328235e+01 -2.24625242e+01  2.49142689e-07 
 8.12830516e+01 -2.24625242e+01  2.54945967e-07 
 8.31763771e+01 -2.24625242e+01  2.60884422e-07 
 8.51138038e+01 -2.24625242e+01  2.66961201e-07 
 8.70963590e+01 -2.24625242e+01  2.73179526e-07 
 8.91250938e+01 -2.24625242e+01  2.79542694e-07 
 9.12010839e+01 -2.24625242e+01  2.86054080e-07 
 9.33254301e+01 -2.24625242e+01  2.92717136e-07 
 9.54992586e+01 -2.24625242e+01  2.99535394e-07 
 9.77237221e+01 -2.24625242e+01  3.06512469e-07 
 1.00000000e+02 -2.24625242e+01  3.13652062e-07 
 1.02329299e+02 -2.24625242e+01  3.20957957e-07 
 1.04712855e+02 -2.24625242e+01  3.28434028e-07 
 1.07151931e+02 -2.24625242e+01  3.36084239e-07 
 1.09647820e+02 -2.24625242e+01  3.43912647e-07 
 1.12201845e+02 -2.24625242e+01  3.51923402e-07 
 1.14815362e+02 -2.24625242e+01  3.60120751e-07 
 1.17489755e+02 -2.24625242e+01  3.68509041e-07 
 1.20226443e+02 -2.24625242e+01  3.77092719e-07 
 1.23026877e+02 -2.24625242e+01  3.85876337e-07 
 1.25892541e+02 -2.24625242e+01  3.94864551e-07 
 1.28824955e+02 -2.24625242e+01  4.04062128e-07 
 1.31825674e+02 -2.24625242e+01  4.13473944e-07 
 1.34896288e+02 -2.24625242e+01  4.23104990e-07 
 1.38038426e+02 -2.24625242e+01  4.32960371e-07 
 1.41253754e+02 -2.24625242e+01  4.43045313e-07 
 1.44543977e+02 -2.24625242e+01  4.53365164e-07 
 1.47910839e+02 -2.24625242e+01  4.63925396e-07 
 1.51356125e+02 -2.24625242e+01  4.74731606e-07 
 1.54881662e+02 -2.24625242e+01  4.85789526e-07 
 1.58489319e+02 -2.24625242e+01  4.97105018e-07 
 1.62181010e+02 -2.24625242e+01  5.08684081e-07 
 1.65958691e+02 -2.24625242e+01  5.20532855e-07 
 1.69824365e+02 -2.24625242e+01  5.32657623e-07 
 1.73780083e+02 -2.24625242e+01  5.45064813e-07 
 1.77827941e+02 -2.24625242e+01  5.57761004e-07 
 1.81970086e+02 -2.24625242e+01  5.70752926e-07 
 1.86208714e+02 -2.24625242e+01  5.84047470e-07 
 1.90546072e+02 -2.24625242e+01  5.97651683e-07 
 1.94984460e+02 -2.24625242e+01  6.11572779e-07 
 1.99526231e+02 -2.24625242e+01  6.25818139e-07 
 2.04173794e+02 -2.24625242e+01  6.40395316e-07 
 2.08929613e+02 -2.24625242e+01  6.55312039e-07 
 2.13796209e+02 -2.24625242e+01  6.70576218e-07 
 2.18776162e+02 -2.24625242e+01  6.86195944e-07 
 2.23872114e+02 -2.24625242e+01  7.02179501e-07 
 2.29086765e+02 -2.24625242e+01  7.18535363e-07 
 2.34422882e+02 -2.24625242e+01  7.35272202e-07 
 2.39883292e+02 -2.24625242e+01  7.52398891e-07 
 2.45470892e+02 -2.24625242e+01  7.69924513e-07 
 2.51188643e+02 -2.24625242e+01  7.87858359e-07 
 2.57039578e+02 -2.24625242e+01  8.06209937e-07 
 2.63026799e+02 -2.24625242e+01  8.24988979e-07 
 2.69153480e+02 -2.24625242e+01  8.44205441e-07 
 2.75422870e+02 -2.24625242e+01  8.63869512e-07 
 2.81838293e+02 -2.24625242e+01  8.83991618e-07 
 2.88403150e+02 -2.24625242e+01  9.04582428e-07 
 2.95120923e+02 -2.24625242e+01  9.25652859e-07 
 3.01995172e+02 -2.24625242e+01  9.47214084e-07 
 3.09029543e+02 -2.24625242e+01  9.69277534e-07 
 3.16227766e+02 -2.24625242e+01  9.91854908e-07 
