 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -4.37258297e+01  1.71348498e-06 
 1.02329299e+01 -4.37258297e+01  1.75339718e-06 
 1.04712855e+01 -4.37258297e+01  1.79423904e-06 
 1.07151931e+01 -4.37258297e+01  1.83603224e-06 
 1.09647820e+01 -4.37258297e+01  1.87879892e-06 
 1.12201845e+01 -4.37258297e+01  1.92256177e-06 
 1.14815362e+01 -4.37258297e+01  1.96734399e-06 
 1.17489755e+01 -4.37258297e+01  2.01316932e-06 
 1.20226443e+01 -4.37258297e+01  2.06006206e-06 
 1.23026877e+01 -4.37258297e+01  2.10804706e-06 
 1.25892541e+01 -4.37258297e+01  2.15714979e-06 
 1.28824955e+01 -4.37258297e+01  2.20739626e-06 
 1.31825674e+01 -4.37258297e+01  2.25881313e-06 
 1.34896288e+01 -4.37258297e+01  2.31142764e-06 
 1.38038426e+01 -4.37258297e+01  2.36526771e-06 
 1.41253754e+01 -4.37258297e+01  2.42036187e-06 
 1.44543977e+01 -4.37258297e+01  2.47673934e-06 
 1.47910839e+01 -4.37258297e+01  2.53443001e-06 
 1.51356125e+01 -4.37258297e+01  2.59346447e-06 
 1.54881662e+01 -4.37258297e+01  2.65387402e-06 
 1.58489319e+01 -4.37258297e+01  2.71569069e-06 
 1.62181010e+01 -4.37258297e+01  2.77894725e-06 
 1.65958691e+01 -4.37258297e+01  2.84367725e-06 
 1.69824365e+01 -4.37258297e+01  2.90991500e-06 
 1.73780083e+01 -4.37258297e+01  2.97769563e-06 
 1.77827941e+01 -4.37258297e+01  3.04705507e-06 
 1.81970086e+01 -4.37258297e+01  3.11803010e-06 
 1.86208714e+01 -4.37258297e+01  3.19065835e-06 
 1.90546072e+01 -4.37258297e+01  3.26497833e-06 
 1.94984460e+01 -4.37258297e+01  3.34102944e-06 
 1.99526231e+01 -4.37258297e+01  3.41885202e-06 
 2.04173794e+01 -4.37258297e+01  3.49848731e-06 
 2.08929613e+01 -4.37258297e+01  3.57997755e-06 
 2.13796209e+01 -4.37258297e+01  3.66336594e-06 
 2.18776162e+01 -4.37258297e+01  3.74869669e-06 
 2.23872114e+01 -4.37258297e+01  3.83601505e-06 
 2.29086765e+01 -4.37258297e+01  3.92536732e-06 
 2.34422882e+01 -4.37258297e+01  4.01680087e-06 
 2.39883292e+01 -4.37258297e+01  4.11036419e-06 
 2.45470892e+01 -4.37258297e+01  4.20610687e-06 
 2.51188643e+01 -4.37258297e+01  4.30407968e-06 
 2.57039578e+01 -4.37258297e+01  4.40433458e-06 
 2.63026799e+01 -4.37258297e+01  4.50692471e-06 
 2.69153480e+01 -4.37258297e+01  4.61190447e-06 
 2.75422870e+01 -4.37258297e+01  4.71932953e-06 
