 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -3.87315794e+01  1.98331517e-07 
 1.02329299e+01 -3.87315794e+01  2.02951252e-07 
 1.04712855e+01 -3.87315794e+01  2.07678594e-07 
 1.07151931e+01 -3.87315794e+01  2.12516050e-07 
 1.09647820e+01 -3.87315794e+01  2.17466184e-07 
 1.12201845e+01 -3.87315794e+01  2.22531622e-07 
 1.14815362e+01 -3.87315794e+01  2.27715050e-07 
 1.17489755e+01 -3.87315794e+01  2.33019215e-07 
 1.20226443e+01 -3.87315794e+01  2.38446929e-07 
 1.23026877e+01 -3.87315794e+01  2.44001072e-07 
 1.25892541e+01 -3.87315794e+01  2.49684587e-07 
 1.28824955e+01 -3.87315794e+01  2.55500488e-07 
 1.31825674e+01 -3.87315794e+01  2.61451859e-07 
 1.34896288e+01 -3.87315794e+01  2.67541855e-07 
 1.38038426e+01 -3.87315794e+01  2.73773706e-07 
 1.41253754e+01 -3.87315794e+01  2.80150714e-07 
 1.44543977e+01 -3.87315794e+01  2.86676263e-07 
 1.47910839e+01 -3.87315794e+01  2.93353811e-07 
 1.51356125e+01 -3.87315794e+01  3.00186899e-07 
 1.54881662e+01 -3.87315794e+01  3.07179150e-07 
 1.58489319e+01 -3.87315794e+01  3.14334272e-07 
 1.62181010e+01 -3.87315794e+01  3.21656057e-07 
 1.65958691e+01 -3.87315794e+01  3.29148389e-07 
 1.69824365e+01 -3.87315794e+01  3.36815240e-07 
 1.73780083e+01 -3.87315794e+01  3.44660675e-07 
 1.77827941e+01 -3.87315794e+01  3.52688853e-07 
 1.81970086e+01 -3.87315794e+01  3.60904032e-07 
 1.86208714e+01 -3.87315794e+01  3.69310567e-07 
 1.90546072e+01 -3.87315794e+01  3.77912915e-07 
 1.94984460e+01 -3.87315794e+01  3.86715638e-07 
 1.99526231e+01 -3.87315794e+01  3.95723402e-07 
 2.04173794e+01 -3.87315794e+01  4.04940984e-07 
 2.08929613e+01 -3.87315794e+01  4.14373272e-07 
 2.13796209e+01 -3.87315794e+01  4.24025265e-07 
 2.18776162e+01 -3.87315794e+01  4.33902082e-07 
 2.23872114e+01 -3.87315794e+01  4.44008960e-07 
 2.29086765e+01 -3.87315794e+01  4.54351257e-07 
 2.34422882e+01 -3.87315794e+01  4.64934458e-07 
 2.39883292e+01 -3.87315794e+01  4.75764172e-07 
 2.45470892e+01 -3.87315794e+01  4.86846144e-07 
 2.51188643e+01 -3.87315794e+01  4.98186247e-07 
 2.57039578e+01 -3.87315794e+01  5.09790496e-07 
 2.63026799e+01 -3.87315794e+01  5.21665042e-07 
 2.69153480e+01 -3.87315794e+01  5.33816181e-07 
