 v-sweep         (dc1.i(vic))    (dc2.i(vic))    (dc3.i(vic))    (dc4.i(vic))    (dc5.i(vic))    (dc6.i(vic))    (dc7.i(vic))    (dc8.i(vic))    (dc9.i(vic))    (dc10.i(vic))   (dc1.i(vic_l))  (dc2.i(vic_l))  (dc3.i(vic_l))  (dc4.i(vic_l))  (dc5.i(vic_l))  (dc6.i(vic_l))  (dc7.i(vic_l))  (dc8.i(vic_l))  (dc9.i(vic_l))  (dc10.i(vic_l)) (dc1.i(vic_v))  (dc2.i(vic_v))  (dc3.i(vic_v))  (dc4.i(vic_v))  (dc5.i(vic_v))  (dc6.i(vic_v))  (dc7.i(vic_v))  (dc8.i(vic_v))  (dc9.i(vic_v))  (dc10.i(vic_v))
 6.00000000e-01  8.46107179e-08  1.69220833e-07  2.53830946e-07  3.38441058e-07  4.23051170e-07  5.07661281e-07  5.92271392e-07  6.76881502e-07  7.61491612e-07  8.46101722e-07  1.81280023e-07  3.62557083e-07  5.43833109e-07  7.25108427e-07  9.06383199e-07  1.08765753e-06  1.26893147e-06  1.45020509e-06  1.63147841e-06  1.81275146e-06  2.24247692e-07  4.48491086e-07  6.72732863e-07  8.96973533e-07  1.12121335e-06  1.34545247e-06  1.56969099e-06  1.79392900e-06  2.01816654e-06  2.24240367e-06 
 6.50000000e-01  5.59293034e-07  1.11858530e-06  1.67787751e-06  2.23716969e-06  2.79646184e-06  3.35575397e-06  3.91504609e-06  4.47433819e-06  5.03363028e-06  5.59292235e-06  1.23063569e-06  2.46116184e-06  3.69164041e-06  4.92208639e-06  6.15250726e-06  7.38290755e-06  8.61329034e-06  9.84365788e-06  1.10740119e-05  1.23043536e-05  1.48747223e-06  2.97478120e-06  4.46201912e-06  5.94920837e-06  7.43636011e-06  8.92348113e-06  1.04105760e-05  1.18976481e-05  1.33847000e-05  1.48717336e-05 
 7.00000000e-01  3.68220150e-06  7.36439745e-06  1.10465914e-05  1.47287841e-05  1.84109759e-05  2.20931668e-05  2.57753570e-05  2.94575467e-05  3.31397359e-05  3.68219246e-05  8.32674224e-06  1.66485121e-05  2.49681118e-05  3.32862260e-05  4.16031953e-05  4.99192273e-05  5.82344625e-05  6.65490028e-05  7.48629258e-05  8.31762926e-05  9.82396100e-06  1.96408540e-05  2.94546630e-05  3.92663610e-05  4.90764326e-05  5.88851723e-05  6.86927801e-05  7.84994007e-05  8.83051443e-05  9.81100980e-05 
 7.50000000e-01  2.36436390e-05  4.72870971e-05  7.09304826e-05  9.45738200e-05  1.18217121e-04  1.41860393e-04  1.65503640e-04  1.89146866e-04  2.12790073e-04  2.36433264e-04  5.51626557e-05  1.10110708e-04  1.64965754e-04  2.19757323e-04  2.74500083e-04  3.29202946e-04  3.83871940e-04  4.38511434e-04  4.93124750e-04  5.47714500e-04  6.31721939e-05  1.26058516e-04  1.88821120e-04  2.51499337e-04  3.14112697e-04  3.76673056e-04  4.39188436e-04  5.01664649e-04  5.64106111e-04  6.26516299e-04 
 8.00000000e-01  1.33308464e-04  2.66612345e-04  3.99914384e-04  5.33215201e-04  6.66515094e-04  7.99814244e-04  9.33112768e-04  1.06641075e-03  1.19970827e-03  1.33300535e-03  3.25336502e-04  6.44255191e-04  9.60504603e-04  1.27496260e-03  1.58805922e-03  1.90005311e-03  2.21111793e-03  2.52137869e-03  2.83092990e-03  3.13984560e-03  3.54177793e-04  7.00810372e-04  1.04431599e-03  1.38572599e-03  1.72554500e-03  2.06407625e-03  2.40152321e-03  2.73803227e-03  3.07371404e-03  3.40865517e-03 
 8.50000000e-01  5.13515300e-04  1.02698473e-03  1.54043572e-03  2.05387448e-03  2.56730400e-03  3.08072607e-03  3.59414190e-03  4.10755233e-03  4.62095802e-03  5.13435947e-03  1.32260210e-03  2.57272450e-03  3.79498494e-03  4.99908576e-03  6.18965816e-03  7.36943789e-03  8.54023624e-03  9.70334246e-03  1.08597216e-02  1.20101233e-02  1.23227177e-03  2.42387109e-03  3.59841108e-03  4.76144426e-03  5.91637482e-03  7.06327897e-03  8.20423922e-03  9.34002729e-03  1.04712305e-02  1.15983121e-02 
 9.00000000e-01  1.24659811e-03  2.49301862e-03  3.73936779e-03  4.98566958e-03  6.23193562e-03  7.47817284e-03  8.72438588e-03  9.97057804e-03  1.12167518e-02  1.24629092e-02  3.31169730e-03  6.33973078e-03  9.26511887e-03  1.21249560e-02  1.49366180e-02  1.77102389e-02  2.04524628e-02  2.31679815e-02  2.58602832e-02  2.85320622e-02  1.93672284e-03  3.80718780e-03  5.65075772e-03  7.47645226e-03  9.28865462e-03  1.10899835e-02  1.28821913e-02  1.46665343e-02  1.64439587e-02  1.82152039e-02 
 9.50000000e-01  2.24001743e-03  4.47962058e-03  6.71905731e-03  8.95838356e-03  1.11976264e-02  1.34368021e-02  1.56759213e-02  1.79149919e-02  2.01540196e-02  2.23930091e-02  6.01635998e-03  1.14040937e-02  1.65719116e-02  2.16007926e-02  2.65282890e-02  3.13761542e-02  3.61585770e-02  4.08855348e-02  4.55644201e-02  5.02009251e-02  2.76713547e-03  5.43551974e-03  8.06276934e-03  1.06624653e-02  1.32412508e-02  1.58031534e-02  1.83508422e-02  2.08862490e-02  2.34108331e-02  2.59257373e-02 
 1.00000000e+00  3.40077813e-03  6.80080307e-03  1.02005255e-02  1.36000471e-02  1.69994171e-02  2.03986650e-02  2.37978103e-02  2.71968671e-02  3.05958461e-02  3.39947556e-02  9.16000320e-03  1.72567270e-02  2.49887897e-02  3.24918866e-02  3.98285806e-02  4.70349731e-02  5.41345422e-02  6.11437582e-02  6.80747994e-02  7.49370274e-02  3.45256526e-03  6.82827776e-03  1.01686219e-02  1.34843400e-02  1.67808866e-02  2.00616233e-02  2.33288495e-02  2.65842460e-02  2.98290994e-02  3.30644287e-02 
 1.05000000e+00  4.67214727e-03  9.34310291e-03  1.40135800e-02  1.86837394e-02  2.33536590e-02  2.80233854e-02  3.26929495e-02  3.73623738e-02  4.20316749e-02  4.67008660e-02  1.25841050e-02  2.36112167e-02  3.41110316e-02  4.42810553e-02  5.42120154e-02  6.39561374e-02  7.35473224e-02  8.30093164e-02  9.23596556e-02  1.01611805e-01  3.74952414e-03  7.46674838e-03  1.11681492e-02  1.48581752e-02  1.85391328e-02  2.22124664e-02  2.58791777e-02  2.95400071e-02  3.31955274e-02  3.68461966e-02 
