 v-sweep         (dc1.i(vib))    (dc2.i(vib))    (dc3.i(vib))    (dc4.i(vib))    (dc5.i(vib))    (dc6.i(vib))    (dc7.i(vib))    (dc8.i(vib))    (dc9.i(vib))    (dc10.i(vib))   (dc1.i(vib_l))  (dc2.i(vib_l))  (dc3.i(vib_l))  (dc4.i(vib_l))  (dc5.i(vib_l))  (dc6.i(vib_l))  (dc7.i(vib_l))  (dc8.i(vib_l))  (dc9.i(vib_l))  (dc10.i(vib_l)) (dc1.i(vib_v))  (dc2.i(vib_v))  (dc3.i(vib_v))  (dc4.i(vib_v))  (dc5.i(vib_v))  (dc6.i(vib_v))  (dc7.i(vib_v))  (dc8.i(vib_v))  (dc9.i(vib_v))  (dc10.i(vib_v))
 6.00000000e-01  1.46186618e-10  2.91173223e-10  4.36159818e-10  5.81146440e-10  7.26133068e-10  8.71119650e-10  1.01610617e-09  1.16109276e-09  1.30607940e-09  1.45106606e-09  3.06102769e-10  6.11001865e-10  9.15899357e-10  1.22079573e-09  1.52569135e-09  1.83058616e-09  2.13548042e-09  2.44037423e-09  2.74526764e-09  3.05016047e-09  3.84823139e-10  7.68440244e-10  1.15205483e-09  1.53566753e-09  1.91927892e-09  2.30288924e-09  2.68649852e-09  3.07010719e-09  3.45371474e-09  3.83732200e-09 
 6.50000000e-01  8.51702248e-10  1.70210427e-09  2.55250620e-09  3.40290810e-09  4.25330997e-09  5.10371182e-09  5.95411363e-09  6.80451537e-09  7.65491718e-09  8.50531895e-09  1.84870533e-09  3.69595487e-09  5.54313629e-09  7.39027112e-09  9.23736997e-09  1.10844393e-08  1.29314838e-08  1.47785065e-08  1.66255099e-08  1.84724953e-08  2.30105794e-09  4.60057404e-09  6.89998490e-09  9.19932372e-09  1.14986069e-08  1.37978446e-08  1.60970436e-08  1.83962088e-08  2.06953443e-08  2.29944522e-08 
 7.00000000e-01  5.09879804e-09  1.01961893e-08  1.52935780e-08  2.03909649e-08  2.54883506e-08  3.05857352e-08  3.56831190e-08  4.07805019e-08  4.58778843e-08  5.09752660e-08  1.15974415e-08  2.31867904e-08  3.47732181e-08  4.63576462e-08  5.79405332e-08  6.95221586e-08  8.11027111e-08  9.26823285e-08  1.04261115e-07  1.15839152e-07  1.42415734e-08  2.84717878e-08  4.26976591e-08  5.69205576e-08  7.11411655e-08  8.53598980e-08  9.95770360e-08  1.13792784e-07  1.28007297e-07  1.42220697e-07 
 7.50000000e-01  3.03531899e-08  6.07046541e-08  9.10560284e-08  1.21407343e-07  1.51758613e-07  1.82109846e-07  2.12461049e-07  2.42812225e-07  2.73163379e-07  3.03514511e-07  7.28025261e-08  1.45326905e-07  2.17731384e-07  2.90054032e-07  3.62313758e-07  4.34522048e-07  5.06686675e-07  5.78813271e-07  6.50906117e-07  7.22968584e-07  8.78798582e-08  1.75366495e-07  2.62683621e-07  3.49885125e-07  4.36997762e-07  5.24037781e-07  6.11016171e-07  6.97940896e-07  7.84818005e-07  8.71652263e-07 
 8.00000000e-01  1.65486961e-07  3.30966591e-07  4.96443922e-07  6.61919727e-07  8.27394381e-07  9.92868106e-07  1.15834105e-06  1.32381333e-06  1.48928501e-06  1.65475616e-06  4.20468189e-07  8.32590420e-07  1.24124440e-06  1.64757137e-06  2.05213027e-06  2.45525721e-06  2.85717784e-06  3.25805458e-06  3.65801022e-06  4.05714092e-06  4.94668499e-07  9.78492065e-07  1.45782848e-06  1.93415945e-06  2.40820961e-06  2.88041426e-06  3.35106539e-06  3.82037303e-06  4.28849587e-06  4.75555815e-06 
 8.50000000e-01  6.82364245e-07  1.36465876e-06  2.04692596e-06  2.72917503e-06  3.41141041e-06  4.09363476e-06  4.77584985e-06  5.45805695e-06  6.14025702e-06  6.82245080e-06  1.81290419e-06  3.51738431e-06  5.18058268e-06  6.81696773e-06  8.43342437e-06  1.00340110e-05  1.16214102e-05  1.31975288e-05  1.47637924e-05  1.63213075e-05  2.56519659e-06  4.88234543e-06  7.10621860e-06  9.27013882e-06  1.13867036e-05  1.34725693e-05  1.55292379e-05  1.75611589e-05  1.95716335e-05  2.15632050e-05 
 9.00000000e-01  1.95027278e-06  3.90019221e-06  5.84997048e-06  7.79965502e-06  9.74926882e-06  1.16988256e-05  1.36483345e-05  1.55978022e-05  1.75472335e-05  1.94966323e-05  5.23008143e-06  9.91516806e-06  1.44090720e-05  1.87821480e-05  2.30670407e-05  2.72826663e-05  3.14413657e-05  3.55518178e-05  3.96204534e-05  4.36522248e-05  1.87063324e-05  3.51890993e-05  5.08465857e-05  6.59741529e-05  8.07111076e-05  9.51391377e-05  1.09311855e-04  1.23267239e-04  1.37033573e-04  1.50632732e-04 
 9.50000000e-01  4.24808606e-06  8.49507363e-06  1.27416208e-05  1.69878757e-05  2.12339100e-05  2.54797664e-05  2.97254735e-05  3.39710519e-05  3.82165170e-05  4.24618807e-05  1.12754557e-05  2.09809916e-05  3.01661161e-05  3.90281293e-05  4.76570807e-05  5.61045743e-05  6.44039916e-05  7.25786480e-05  8.06457201e-05  8.86183692e-05  9.22161877e-05  1.70263849e-04  2.43310930e-04  3.13206024e-04  3.80809945e-04  4.46612838e-04  5.10942327e-04  5.74025790e-04  6.36031499e-04  6.97088886e-04 
 1.00000000e+00  7.76368514e-06  1.55248001e-05  2.32848839e-05  3.10442832e-05  3.88031657e-05  4.65616319e-05  5.43197486e-05  6.20775638e-05  6.98351137e-05  7.75924264e-05  2.03145560e-05  3.72711158e-05  5.31565563e-05  6.83847175e-05  8.31424415e-05  9.75360216e-05  1.11633834e-04  1.25483423e-04  1.39119679e-04  1.52569249e-04  3.87275308e-04  7.02079138e-04  9.91803963e-04  1.26588731e-03  1.52867914e-03  1.78268449e-03  2.02952832e-03  2.27034744e-03  2.50598006e-03  2.73706876e-03 
 1.05000000e+00  1.26191647e-05  2.52332892e-05  3.78453909e-05  5.04561498e-05  6.30658953e-05  7.56748241e-05  8.82830674e-05  1.00890719e-04  1.13497851e-04  1.26104517e-04  3.25926481e-05  5.91605763e-05  8.38585649e-05  1.07418303e-04  1.30167717e-04  1.52292430e-04  1.73911394e-04  1.95107060e-04  2.15939778e-04  2.36455537e-04  1.25647189e-03  2.28632099e-03  3.23498357e-03  4.13230051e-03  4.99219287e-03  5.82274744e-03  6.62924621e-03  7.41540577e-03  8.18398021e-03  8.93708995e-03 
